,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2016-12-31
current-ratio,,,,,,,
roe,-6.0574,-5.1566,13.3262,,,,
return-on-tangible-equity,-6.0574,-5.1566,-9.2444,,,,
roa,-5.8147,-5.0051,-8.8231,,,,
roi,-6.0574,-5.1566,-9.2444,,,,
book-value-per-share,7.6554,8.0719,169.923,,,,
operating-cash-flow-per-share,-0.8813,-0.8787,-26.6733,-12.4081,-5.8713,,
free-cash-flow-per-share,-0.9208,-0.8939,-28.1207,-13.6532,-6.5887,,
