,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-60.447,-35.434,-27.56,-22.625,-0.0307,-0.0286,-0.0273,-0.027
total-depreciation-amortization-cash-flow,-1.925,-0.23,0.16,0.191,,,,
other-non-cash-items,9.336,4.663,2.131,3.106,,,,
total-non-cash-items,7.411,4.433,2.291,3.297,,,,
change-in-accounts-receivable,,,,,,,,
change-in-accounts-payable,,,,,0.0021,-0.0015,-0.0011,0.0008
change-in-assets-liabilities,-0.727,-0.571,-0.519,-1.812,0.0025,0.001,-0.001,
total-change-in-assets-liabilities,4.381,2.56,-0.08,1.403,0.0148,0.0054,0.0029,0.0044
cash-flow-from-operating-activities,-48.655,-28.441,-25.349,-17.925,-0.016,-0.0232,-0.0244,-0.0227
net-change-in-property-plant-equipment,,,,,,,,
net-change-in-short-term-investments,,,,,,,,
net-change-in-investments-total,,,,,,,,
cash-flow-from-investing-activities,-79.3,-23.418,12.178,-70.626,,,,
net-long-term-debt,-0.623,,7.453,5.0,,,,
net-current-debt,,,,,0.015,0.025,0.025,
debt-issuance-retirement-net-total,-0.623,,7.453,5.0,0.015,0.025,0.025,
net-common-equity-issued-repurchased,133.264,53.911,,97.87,,,,
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,,-0.344,,,,,,
cash-flow-from-financial-activities,132.641,53.567,7.453,102.87,0.015,0.025,0.025,
net-cash-flow,4.686,1.708,-5.718,14.319,-0.001,0.0018,0.0006,-0.0227
stock-based-compensation,,,,,,,,
