,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
net-income-loss,-61.777,-144.796,-119.98,-46.948,-37.652,-28.358,-15.425,-5.758,-5.303,-2.36,-5.18,-3.04
total-depreciation-amortization-cash-flow,13.662,10.854,70.87,3.575,1.393,1.638,1.896,0.177,0.291,0.65,0.9,0.28
other-non-cash-items,5.537,90.684,5.19,1.921,1.926,3.222,0.372,0.441,0.524,,,
total-non-cash-items,19.199,101.538,76.06,5.496,3.319,4.86,2.268,0.618,0.815,0.65,0.9,0.28
change-in-accounts-receivable,-7.225,-0.381,-1.041,0.133,0.055,0.402,-0.226,,,,,
change-in-inventories,-2.145,-2.981,-6.647,-4.63,0.701,0.731,-0.143,0.005,-0.144,,,
change-in-accounts-payable,0.767,-0.531,-0.356,1.096,-0.036,0.641,,,,,,
change-in-assets-liabilities,0.554,-2.237,-1.534,0.723,-0.103,-0.38,0.001,-0.028,-0.029,,,
total-change-in-assets-liabilities,-5.915,-4.037,-8.466,2.693,0.98,2.262,-0.991,0.273,-0.045,-0.16,0.009,-0.33
cash-flow-from-operating-activities,-48.493,-47.295,-52.386,-38.759,-33.353,-21.236,-14.148,-4.867,-4.533,-2.59,-4.03,-2.94
net-change-in-property-plant-equipment,3.758,5.934,-1.361,-1.234,-2.149,-1.377,-0.135,-0.293,-0.277,-0.03,-0.02,-0.2
net-change-in-intangible-assets,,-0.425,,,,,,,,,,
net-acquisitions-divestitures,-5.8,,,-25.0,,0.246,,,,0.0,0.0,3.19
net-change-in-short-term-investments,-55.439,,,,,,,,,,,
net-change-in-long-term-investments,4.0,,,,6.191,-5.336,-1.052,,,,,
net-change-in-investments-total,-51.439,,,,6.191,-5.336,-1.052,,,0.0,0.0,0.0
investing-activities-other,,,,,,,,,,0.9,,0.004
cash-flow-from-investing-activities,-53.481,5.509,-1.361,-26.234,4.042,-6.467,-1.187,-0.293,-0.277,0.86,-0.02,2.99
net-long-term-debt,13.202,-0.338,-6.902,9.887,1.414,0.479,10.0,-0.049,-0.071,,,
net-current-debt,,,,,,,,2.475,0.07,0.05,0.0,0.0
debt-issuance-retirement-net-total,13.202,-0.338,-6.902,9.887,1.414,0.479,10.0,2.426,-0.001,0.0,0.0,0.0
net-common-equity-issued-repurchased,15.682,112.058,58.195,58.59,52.524,0.143,0.003,,4.974,,,
net-total-equity-issued-repurchased,,,,,,,,,,0.0,0.0,0.0
financial-activities-other,-2.432,-7.349,-1.35,-0.073,,,-0.044,,,,,
cash-flow-from-financial-activities,26.452,104.371,49.943,68.404,53.938,28.821,10.227,2.426,6.971,2.03,3.98,0.03
net-cash-flow,-75.955,63.016,-3.859,3.433,24.627,1.118,-5.108,-2.734,2.161,0.31,-0.07,0.08
stock-based-compensation,,,,,,,,,,,,
