,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,25.208,-15.567,-18.01,-39.865,20.186,-21.055,-28.617,-9.802,7.192,-35.859,-51.064,-74.0697,-63.5112,-23.8843
total-depreciation-amortization-cash-flow,2.956,2.984,11.868,14.231,2.958,2.082,2.688,2.864,1.831,1.563,0.296,-1.0003,0.5754,0.4238
other-non-cash-items,9.612,10.626,9.147,8.444,-71.499,5.508,5.047,7.322,0.458,11.23,13.388,19.6515,5.7826,5.0598
total-non-cash-items,12.568,13.61,21.015,22.675,-68.541,7.59,7.735,10.186,2.289,12.793,13.684,18.6512,6.358,5.4837
change-in-accounts-receivable,-11.207,2.525,-4.298,-12.677,-1.623,-0.863,0.45,-1.107,2.653,-3.164,,,,
change-in-inventories,0.07,-1.06,0.2,0.387,-2.21,,,,2.399,-2.399,,,,
change-in-accounts-payable,,,,,,,-0.709,0.348,-1.776,1.911,-2.476,0.204,0.5267,1.5149
change-in-assets-liabilities,3.965,-7.444,-7.585,32.497,-30.395,-25.525,-25.582,-27.605,-26.556,196.631,0.794,0.1082,1.1956,-2.689
total-change-in-assets-liabilities,-7.79,-0.026,-11.108,29.639,-33.199,-26.127,-24.035,-28.794,-20.379,192.402,-8.575,3.7772,5.5337,0.6865
cash-flow-from-operating-activities,29.986,-1.983,-8.103,12.449,-81.554,-39.592,-44.917,-28.41,-10.898,169.336,-45.955,-51.6413,-51.6195,-17.7142
net-change-in-property-plant-equipment,-0.368,-1.664,-1.407,-2.527,-0.769,-0.176,-2.017,-0.275,0.066,,-0.944,-0.0793,-1.3542,-0.292
net-change-in-intangible-assets,,,,,,,,,,,,,,
net-change-in-long-term-investments,-84.292,-8.567,-8.618,-24.071,-3.513,-34.099,47.771,74.624,-155.688,7.261,44.032,-48.681,9.5753,-10.0962
net-change-in-investments-total,-84.292,-8.567,-8.618,-24.071,-3.513,-34.099,47.771,74.624,-155.688,7.261,44.032,-48.681,9.5753,-10.0962
investing-activities-other,,,,,0.245,,,-0.6,,,,,,-0.4302
cash-flow-from-investing-activities,-109.66,-10.231,-10.025,-26.598,-12.037,-34.275,45.754,73.749,-155.622,-4.739,43.088,-48.7603,8.2211,-10.8184
net-long-term-debt,,,,,,,,,,,,,-0.0015,-0.0516
net-current-debt,,,,,,,,,,,,,-0.1411,-0.1726
debt-issuance-retirement-net-total,,,,,,,,,,,,,-0.1426,-0.2242
net-common-equity-issued-repurchased,107.126,5.251,7.751,4.374,90.164,50.055,0.012,0.025,0.892,1.619,,111.4035,53.4571,0.0318
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,,,,-0.283,-0.436,-0.196,,,2.892,,,,,
cash-flow-from-financial-activities,107.126,5.251,7.751,4.091,89.728,49.859,0.012,0.025,3.784,1.619,,111.4035,53.3145,33.2942
net-cash-flow,27.414,-6.921,-10.372,-10.058,-3.863,-24.008,0.849,45.364,-162.736,166.216,-2.851,11.0006,9.9161,4.753
stock-based-compensation,,,,,,,,,,,,,,
