,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-6.66,3.647,9.82,-2.787,-10.699,11.862,18.094,7.752,0.0,0.0,0.0,0.0,0.0
total-depreciation-amortization-cash-flow,16.516,15.81,14.678,13.252,14.448,13.078,11.497,11.15,,,,,
other-non-cash-items,16.231,19.17,13.491,5.244,1.684,9.333,18.405,-27.385,,,,,
total-non-cash-items,32.747,34.98,28.169,18.496,16.132,22.411,29.902,-16.235,,,,,
change-in-accounts-receivable,-16.295,-8.102,6.377,-11.012,1.21,11.824,-16.647,-1.171,,,,,
change-in-inventories,,,,,,,,,,,,,
change-in-assets-liabilities,1.375,-4.817,1.331,-0.699,-0.088,0.029,0.18,-1.821,,,,,
total-change-in-assets-liabilities,12.104,0.582,0.571,-5.028,15.619,-3.231,-49.646,27.579,,,,,
cash-flow-from-operating-activities,38.191,39.209,38.56,10.681,21.052,31.042,-1.65,19.096,,,,,
net-change-in-property-plant-equipment,-46.563,-35.099,-21.382,-15.996,-20.499,-18.302,-23.662,-10.676,,,,,
net-change-in-intangible-assets,4.4,2.0,0.0,,,,-1.509,-0.042,,,,,
net-acquisitions-divestitures,,,-12.461,,-18.352,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,
net-change-in-investments-total,-0.217,-2.895,-0.632,,,0.513,0.81,0.185,,,,,
investing-activities-other,0.198,-0.896,-5.026,-0.929,-0.922,-0.509,-0.751,-0.002,,,,,
cash-flow-from-investing-activities,-42.182,-36.89,-39.501,-16.925,-39.773,-18.298,-25.112,-10.535,,,,,
net-long-term-debt,3.073,9.271,-4.454,-2.206,3.289,-7.152,23.835,-5.9,,,,,
net-current-debt,,,,,-5.998,,,,,,,,
debt-issuance-retirement-net-total,3.073,9.271,-4.454,-2.206,-2.709,-7.152,23.835,-5.9,,,,,
net-common-equity-issued-repurchased,-16.101,-16.989,11.594,4.443,37.855,-0.144,-0.478,-1.696,,,,,
net-total-equity-issued-repurchased,,,,,,,,,,,,,
financial-activities-other,38.036,,,,-3.029,-2.074,-0.12,-0.98,,,,,
cash-flow-from-financial-activities,25.008,-7.718,7.14,2.237,32.117,-9.37,23.237,-8.576,,,,,
net-cash-flow,20.743,-4.895,6.28,-1.754,14.241,3.374,-3.525,-0.015,,,,,
stock-based-compensation,,,,,,,,,,,,,
