,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,54.989,40.054,37.636,24.527,13.947,39.997,50.516,47.785,40.092,30.048,21.375,14.956,5.325,8.027
total-depreciation-amortization-cash-flow,58.16,52.328,47.129,52.682,55.682,58.068,54.836,22.435,15.908,13.567,11.967,10.558,9.713,2.319
other-non-cash-items,9.532,1.078,4.961,0.361,0.768,2.876,-7.899,-1.504,-2.228,-3.669,3.62,5.988,4.45,0.322
total-non-cash-items,67.692,53.406,52.09,53.043,56.45,60.944,46.937,20.931,13.68,9.898,15.587,16.546,14.163,2.641
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,-3.168,-1.142,-2.422,-3.574,-5.95,15.705,12.835,5.874,0.45,-2.214,-0.525,-1.356,-0.201,-0.345
total-change-in-assets-liabilities,-26.224,-6.996,-1.087,-5.285,30.159,0.24,-14.414,-11.987,8.153,-7.104,-6.093,-4.904,-1.969,-3.599
cash-flow-from-operating-activities,96.457,86.464,88.639,72.285,100.556,101.181,83.039,56.729,61.925,32.842,30.869,26.598,17.519,7.069
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,-171.321,-20.678,,,,-12.393,-350.578,-26.149,-12.524,-4.496,-15.627,-81.15,
net-change-in-short-term-investments,,,,,,,4.809,-4.809,,,,,37.5,-15.0
net-change-in-long-term-investments,,,2.496,,,-0.5,-3.024,,,,,,,
net-change-in-investments-total,,,2.496,,,-0.5,1.785,-4.809,,,,,37.5,-15.0
investing-activities-other,,,,,,,,,,,,,5.36,2.0
cash-flow-from-investing-activities,-30.413,-204.364,-39.201,-11.817,-26.201,-26.283,-38.074,-375.721,-53.661,-23.16,-11.396,-24.827,-42.755,-18.67
net-long-term-debt,,-0.143,-0.044,-1.132,-1.629,-10.461,-18.496,297.812,,-17.325,-6.3,-7.875,31.5,
net-current-debt,,42.204,,,-35.0,-93.869,,,,,,,,
debt-issuance-retirement-net-total,,42.061,-0.044,-1.132,-36.629,-104.33,-18.496,297.812,,-17.325,-6.3,-7.875,31.5,
net-common-equity-issued-repurchased,32.407,-11.417,-17.53,-45.813,4.11,-15.74,1.356,12.744,9.128,10.067,4.226,6.577,2.867,2.888
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-2.818,-5.43,-1.475,-1.029,-2.086,3.311,10.399,10.603,12.581,13.223,10.542,8.275,-0.661,
cash-flow-from-financial-activities,29.589,25.214,-19.049,-47.974,-34.605,-116.759,-6.741,321.159,21.709,5.965,8.468,6.977,33.706,2.888
net-cash-flow,95.633,-92.686,30.389,12.494,39.75,-41.861,38.224,2.167,29.973,15.647,27.941,8.748,8.886,-5.555
stock-based-compensation,,,,,,,,,,,,,,
