,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-171.453,-19.626,-58.528,-20.14,-38.313,-0.261,8.362,6.7171
total-depreciation-amortization-cash-flow,8.279,7.228,7.608,2.863,1.822,1.193,0.96,1.1473
other-non-cash-items,16.52,14.744,12.165,7.847,3.244,1.488,0.687,0.888
total-non-cash-items,24.799,21.972,19.773,10.71,5.066,2.681,1.647,2.0353
change-in-accounts-receivable,,,,,,,,
change-in-accounts-payable,1.554,-1.544,2.232,-0.163,-1.5,-0.57,-7.312,-10.2711
change-in-assets-liabilities,4.301,11.649,-10.275,-9.324,-1.427,-18.411,-10.816,-4.5481
total-change-in-assets-liabilities,-6.58,12.059,-4.924,-4.231,0.488,-16.592,-16.591,-1.9951
cash-flow-from-operating-activities,-153.234,14.405,-43.679,-13.661,-32.759,-14.172,-6.582,6.7573
net-change-in-property-plant-equipment,,,,,,,,
net-change-in-short-term-investments,,,,,,,,
net-change-in-investments-total,,,,,,,,
cash-flow-from-investing-activities,,,,,,,,
net-common-equity-issued-repurchased,104.991,35.348,1.854,204.349,77.441,85.871,0.047,0.0704
net-total-equity-issued-repurchased,,,,,,,,
cash-flow-from-financial-activities,104.991,35.348,1.854,204.349,77.441,85.871,0.047,12.0852
net-cash-flow,8.401,127.629,-112.074,38.581,41.11,68.738,-7.475,18.3423
stock-based-compensation,,,,,,,,
