,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-66.598,-42.952,-33.462,-29.992,-25.883,-20.894,-14.239,-13.427
total-depreciation-amortization-cash-flow,0.987,1.027,1.191,0.863,0.52,0.965,0.674,0.695
other-non-cash-items,25.217,3.025,1.268,10.362,2.927,4.249,0.291,0.244
total-non-cash-items,26.204,4.052,2.459,11.225,3.447,5.214,0.965,0.939
change-in-accounts-receivable,,,,,,,,
change-in-assets-liabilities,-2.01,-0.428,-0.381,-0.107,-0.146,-1.271,-0.405,0.209
total-change-in-assets-liabilities,1.744,2.083,1.18,0.37,0.017,0.307,,0.343
cash-flow-from-operating-activities,-38.65,-36.817,-29.823,-18.397,-22.419,-15.373,-13.274,-12.145
net-change-in-property-plant-equipment,,,,,,,,
net-change-in-short-term-investments,,,,,,,,
net-change-in-investments-total,,,,,,,,
cash-flow-from-investing-activities,-0.463,-10.196,-4.114,-1.498,-0.882,-0.238,-0.709,0.2
net-long-term-debt,,4.236,-7.689,-1.546,18.25,-2.0,-0.25,2.6
net-current-debt,,,,,,22.057,,1.0
debt-issuance-retirement-net-total,,4.236,-7.689,-1.546,18.25,20.057,-0.25,3.6
net-common-equity-issued-repurchased,137.27,43.346,29.035,37.149,0.142,40.503,0.207,0.007
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,3.51,-0.098,,,-0.026,,,
cash-flow-from-financial-activities,140.78,47.356,57.737,35.603,18.366,60.56,16.683,7.107
net-cash-flow,101.667,0.343,23.8,15.708,-4.935,44.949,2.7,-4.838
stock-based-compensation,,,,,,,,
