,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,-95.626,28.736,85.083,72.845,-27.052,17.727,25.861
total-depreciation-amortization-cash-flow,67.44,51.928,39.551,40.377,18.735,14.674,13.526
other-non-cash-items,139.625,61.395,44.024,15.603,50.009,26.713,12.249
total-non-cash-items,207.065,113.323,83.575,55.98,68.744,41.387,25.775
change-in-accounts-receivable,,,,,,,
change-in-assets-liabilities,55.98,1.547,17.203,4.439,0.418,-0.314,3.665
total-change-in-assets-liabilities,33.161,-21.116,-43.419,-44.344,-19.743,-10.036,-5.259
cash-flow-from-operating-activities,144.6,120.943,125.239,84.481,21.949,49.078,46.377
net-change-in-property-plant-equipment,,,,,,,
net-acquisitions-divestitures,,,,,,,
investing-activities-other,-1.455,,,,,,
cash-flow-from-investing-activities,-128.862,-783.449,-184.749,-134.842,-271.016,-3.622,-3.468
net-long-term-debt,,,,,,,
debt-issuance-retirement-net-total,125.154,623.509,177.27,-139.268,449.574,123.075,-19.356
net-common-equity-issued-repurchased,-1.982,-2.009,,250.979,-3.143,,
net-total-equity-issued-repurchased,-1.982,307.991,,250.979,-3.143,,
total-common-preferred-stock-dividends-paid,-116.834,-85.149,-65.778,-69.72,-128.182,-156.266,-23.049
financial-activities-other,-12.682,-78.63,-40.216,-8.617,-7.288,-4.471,-0.656
cash-flow-from-financial-activities,-6.344,767.721,71.276,33.374,310.961,-37.662,-43.061
net-cash-flow,9.394,105.215,11.766,-16.987,61.894,7.794,-0.152
stock-based-compensation,9.344,5.584,2.021,7.502,0.942,0.455,0.411
common-stock-dividends-paid,-109.024,-83.833,-65.778,-69.72,-128.182,-156.266,-23.049
