,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2014-09-30,2013-09-30,2012-12-31,2012-09-30,2011-12-31
net-income-loss,31.903,51.943,81.453,2.571,0.0,-17.977,-6.048,0.0,-19.383,0.0
total-depreciation-amortization-cash-flow,4.046,3.969,1.589,0.112,,0.104,1.322,0.47,0.477,
other-non-cash-items,24.324,32.576,-21.141,4.324,,1.179,1.678,,0.543,
total-non-cash-items,28.37,36.545,-19.552,4.436,,1.283,3.0,0.47,1.02,
change-in-accounts-receivable,-12.665,-11.627,-15.919,-14.311,,-2.172,-3.543,,-1.32,
change-in-inventories,-5.556,-2.379,12.303,-13.8,,-1.294,0.087,,1.052,
change-in-accounts-payable,-2.064,-8.46,10.668,0.356,,2.867,-0.251,,-0.093,
change-in-assets-liabilities,4.268,1.993,-15.43,-0.843,,-3.242,-0.818,,3.697,
total-change-in-assets-liabilities,-7.889,-29.569,-8.694,-16.725,,2.851,-2.831,2.81,2.815,
cash-flow-from-operating-activities,52.384,58.919,53.207,-9.718,,-13.843,-5.879,3.82,-15.548,
net-change-in-property-plant-equipment,-0.133,-4.436,-6.44,-1.881,,-0.046,-0.041,-0.03,-0.033,
net-change-in-intangible-assets,,-0.75,-14.25,0.0,,,,,,
net-acquisitions-divestitures,,,-25.11,,,,,0.0,,
net-change-in-short-term-investments,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,
cash-flow-from-investing-activities,-0.133,-5.186,-45.8,-1.881,,-20.045,1.459,2.97,2.967,
net-long-term-debt,-3.75,48.75,,,,,,,,
net-current-debt,,,,,,,,9.66,9.663,
debt-issuance-retirement-net-total,-3.75,48.75,,,,,,0.0,9.663,
net-common-equity-issued-repurchased,-64.49,-39.454,-33.384,55.813,,46.134,,,,
net-total-equity-issued-repurchased,,,,,,,,0.0,,
financial-activities-other,-19.877,-1.192,-0.286,,,-0.001,-0.02,,-0.115,
cash-flow-from-financial-activities,-88.117,8.104,-33.67,55.813,,46.154,9.809,9.66,9.548,
net-cash-flow,-35.866,61.837,-26.263,44.214,,12.266,5.389,16.45,-3.033,
stock-based-compensation,,,,,,,,,,
