,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-57.215,-29.991,-8.0468
total-depreciation-amortization-cash-flow,1.289,0.684,0.2398
other-non-cash-items,1.161,1.068,-1.6055
total-non-cash-items,,,
change-in-accounts-payable,4.383,1.72,0.518
change-in-assets-liabilities,4.778,32.134,-0.2502
total-change-in-assets-liabilities,12.203,34.718,0.9285
cash-flow-from-operating-activities,-42.562,6.479,-8.4841
net-change-in-property-plant-equipment,,,
net-change-in-short-term-investments,,,
net-change-in-investments-total,-96.848,-78.071,
investing-activities-other,,-1.497,-0.276
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,150.994,-0.017,0.3783
net-total-equity-issued-repurchased,,,
cash-flow-from-financial-activities,150.994,115.23,0.3783
net-cash-flow,-13.355,40.183,-10.3711
stock-based-compensation,,,
