,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
net-income-loss,-123.58,-92.064,-52.894,-27.66,-12.035,-25.382,-3.3076,-25.6941,-1.608,-0.0158,-0.0571,-0.0016
total-depreciation-amortization-cash-flow,-0.376,0.971,0.904,0.999,0.088,0.007,0.5041,5.0027,0.0586,0.0013,0.0013,0.0001
other-non-cash-items,20.036,11.968,18.904,8.523,3.814,21.976,-3.9166,14.1424,0.9066,,,
total-non-cash-items,,,,,,,,,,,,
change-in-accounts-payable,1.507,0.369,-0.25,-0.29,,,,,,,,
change-in-assets-liabilities,-2.065,-4.508,-2.765,-0.211,0.108,-0.164,0.0226,-0.0214,-0.0083,,,0.0007
total-change-in-assets-liabilities,2.671,0.416,0.418,-0.243,-0.5,-0.262,4.4787,0.3598,0.022,0.0,-0.004,0.0047
cash-flow-from-operating-activities,-101.249,-78.709,-32.668,-18.381,-8.633,-3.661,-2.2415,-6.1892,-0.6208,0.0,-0.0598,0.0032
net-change-in-property-plant-equipment,-1.198,-1.028,-1.521,-1.143,-1.592,-0.013,,-0.0311,,,,
net-change-in-intangible-assets,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,
net-change-in-investments-total,-385.081,59.705,10.415,-70.065,,,,,,,,
investing-activities-other,,,,,,,,-0.05,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,
net-current-debt,,,,,,0.311,1.4813,4.615,,,,
debt-issuance-retirement-net-total,,,,,,0.311,1.4813,4.615,,,,
net-common-equity-issued-repurchased,424.53,59.94,97.546,78.267,3.222,7.126,0.25,0.873,1.91,,,0.061
net-total-equity-issued-repurchased,,,,,,,,,,,,
financial-activities-other,-0.223,-1.252,-0.642,,,,,,-0.005,0.0198,0.0025,
cash-flow-from-financial-activities,424.307,58.688,96.904,78.267,35.462,23.346,1.7313,5.488,1.905,0.0198,0.0025,0.061
net-cash-flow,-63.221,38.656,73.13,-11.322,25.237,19.672,-0.5102,-0.7823,1.2842,0.0054,-0.0573,0.0602
stock-based-compensation,,,,,,,,,,,,
