,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-74.013,-58.125,-57.28,-24.69,-17.745,-3.963,-6.271,-9.806
total-depreciation-amortization-cash-flow,-1.45,-0.087,1.247,0.821,0.783,0.906,1.025,1.186
other-non-cash-items,9.943,6.432,2.663,2.227,1.106,3.455,0.133,0.054
total-non-cash-items,8.493,6.345,3.91,3.048,1.889,4.361,1.158,1.24
change-in-accounts-receivable,,,,,,,,
change-in-assets-liabilities,38.839,-0.105,0.199,-2.894,-1.635,1.739,0.367,0.228
total-change-in-assets-liabilities,43.219,-3.047,5.989,0.164,-1.786,2.431,-0.918,1.721
cash-flow-from-operating-activities,-22.301,-54.827,-47.381,-21.478,-17.642,2.829,-6.031,-6.845
net-change-in-property-plant-equipment,,,,,,,,
net-change-in-short-term-investments,,,,,,,,
net-change-in-investments-total,,,,,,,,
cash-flow-from-investing-activities,-82.819,-36.5,45.018,-91.677,-0.042,-0.005,0.511,0.045
net-long-term-debt,,,,,,-0.307,-0.446,-0.848
net-current-debt,,,,,,1.151,2.538,
debt-issuance-retirement-net-total,,,,,,0.844,2.092,-0.848
net-common-equity-issued-repurchased,110.813,87.923,0.123,75.593,57.99,,0.141,0.002
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,,,,,,-0.07,-0.047,
cash-flow-from-financial-activities,110.813,87.923,0.123,75.593,57.99,8.416,2.54,9.136
net-cash-flow,5.693,-3.404,-2.24,-37.562,40.306,11.24,-2.98,2.336
stock-based-compensation,,,,,,,,
