,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,-46.781,-55.56,-39.756,-13.707,0.781,-3.542,-5.059
total-depreciation-amortization-cash-flow,6.681,7.597,6.949,0.913,0.584,1.023,1.519
other-non-cash-items,35.357,32.7,13.473,1.213,-2.429,0.597,0.067
total-non-cash-items,42.038,40.297,20.422,2.126,-1.845,1.62,1.586
change-in-accounts-receivable,-3.967,-0.109,1.047,0.32,-0.417,-1.318,-0.15
change-in-inventories,0.363,1.025,0.492,-0.08,-0.168,0.058,-0.152
change-in-accounts-payable,-0.168,0.292,-0.62,0.489,0.51,-0.019,-0.113
change-in-assets-liabilities,-0.541,-0.084,0.999,-0.823,-0.31,1.079,1.146
total-change-in-assets-liabilities,0.736,0.956,2.811,1.829,-2.286,1.376,1.697
cash-flow-from-operating-activities,-4.007,-14.307,-16.523,-9.752,-3.35,-0.546,-1.776
net-change-in-property-plant-equipment,-2.035,-0.186,-0.549,-1.199,-0.733,-0.098,-0.141
net-change-in-intangible-assets,-5.202,,,,,,
net-acquisitions-divestitures,,,,,,,
net-change-in-long-term-investments,,,,,,,0.783
net-change-in-investments-total,,,,,,,
cash-flow-from-investing-activities,-7.929,-6.105,-21.121,-1.199,-1.333,-0.098,0.642
net-long-term-debt,-13.807,9.643,-3.944,4.159,0.454,-0.058,1.656
net-current-debt,-0.677,,,,,,
debt-issuance-retirement-net-total,-14.484,9.643,-3.944,4.159,0.454,-0.058,1.656
net-common-equity-issued-repurchased,65.675,19.673,8.249,0.249,0.019,,0.01
net-total-equity-issued-repurchased,,,,,,,
financial-activities-other,-0.923,0.063,20.622,,35.513,,
cash-flow-from-financial-activities,50.268,29.379,24.927,4.408,35.986,-0.058,4.607
net-cash-flow,38.334,9.073,-12.634,-6.543,31.303,-0.702,3.473
stock-based-compensation,,,,,,,
