,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,377.047,263.269,222.054,192.135,181.951,187.794,178.287,161.754,141.32,122.235,116.169,94.014,93.678,78.254
total-depreciation-amortization-cash-flow,83.173,83.178,79.061,70.388,58.888,54.596,52.408,48.202,45.956,49.773,47.984,40.958,29.816,24.369
other-non-cash-items,31.504,18.449,30.454,23.652,4.726,6.669,-2.676,4.413,-5.308,13.244,12.666,1.162,-3.432,3.184
total-non-cash-items,114.677,101.627,109.515,94.04,63.614,61.265,49.732,52.615,40.648,63.017,60.65,42.12,26.384,27.553
change-in-accounts-receivable,-18.401,-24.918,-22.554,-50.142,-3.626,-15.946,3.487,-24.809,-6.914,-1.155,-10.266,-25.535,-6.583,-9.3
change-in-inventories,-25.623,-19.062,7.648,-34.969,-38.31,-1.347,-17.208,-7.579,-19.469,6.223,-18.468,-5.23,-25.679,7.433
change-in-accounts-payable,-0.166,1.391,2.117,-2.468,6.703,-4.399,-2.898,13.015,3.482,-9.156,-4.327,5.851,4.352,4.901
change-in-assets-liabilities,-47.45,50.969,20.163,23.206,25.514,18.629,10.821,6.002,-10.838,-6.917,-4.707,-7.565,-0.208,-2.473
total-change-in-assets-liabilities,-91.64,8.38,7.374,-64.373,-9.719,-3.063,-5.611,3.544,-3.135,-10.3,-33.511,-1.01,-10.236,10.745
cash-flow-from-operating-activities,400.084,373.276,338.943,221.802,235.846,245.996,222.408,217.913,178.833,174.952,143.308,135.124,109.826,116.552
net-change-in-property-plant-equipment,-115.751,-74.384,-64.787,-82.921,-55.123,-77.612,-57.573,-49.452,-38.796,-48.584,-89.971,-65.138,-44.415,-21.448
net-change-in-intangible-assets,-7.185,-2.32,,0.0,-0.175,-1.024,-0.9,-1.0,-0.394,-0.5,-4.758,-89.884,-25.22,-7.604
net-acquisitions-divestitures,-22.5,-14.579,-1.964,-10.302,-25.115,-7.423,0.342,-43.757,,-4.537,3.134,,,
net-change-in-short-term-investments,284.038,-47.405,-24.035,-215.183,,,,,,,,35.0,30.655,44.261
net-change-in-long-term-investments,,,,,,,,,-4.0,,,,,
net-change-in-investments-total,284.038,-47.405,-24.035,-215.183,,,,,-4.0,,,35.0,30.655,44.261
investing-activities-other,,,,,,,,,,,,-1.106,-1.72,-2.615
cash-flow-from-investing-activities,138.602,-138.688,-90.786,-308.406,-80.413,-86.059,-58.131,-94.209,-43.19,-53.621,-91.595,-121.128,-40.7,12.594
net-long-term-debt,,,,250.097,200.0,150.0,,,,,,,,
net-current-debt,-256.04,44.0,38.0,24.0,270.606,63.893,-31.917,113.04,9.33,-33.756,78.955,69.992,-0.877,-2.057
debt-issuance-retirement-net-total,-256.04,44.0,38.0,274.097,470.606,213.893,-31.917,113.04,9.33,-33.756,78.955,69.992,-0.877,-2.057
net-common-equity-issued-repurchased,-340.493,-252.016,-270.114,-385.022,-588.716,-329.526,-108.102,-226.704,-114.225,-66.733,-115.982,-97.446,-84.789,-104.928
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-1.266,,9.918,9.935,14.672,13.182,14.676,16.007,18.126,5.194,6.237,9.267,9.407,
cash-flow-from-financial-activities,-597.799,-208.016,-222.196,-100.99,-103.438,-102.451,-125.343,-97.657,-86.769,-95.295,-30.79,-18.187,-76.259,-106.985
net-cash-flow,-63.881,32.774,25.907,-193.542,43.478,55.072,40.091,26.98,50.187,27.86,18.508,-1.306,-5.485,19.995
stock-based-compensation,,,,,,,,,,,,,,
