,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-103.227,-64.873,-23.973
total-depreciation-amortization-cash-flow,0.286,0.028,0.022
other-non-cash-items,3.601,0.7,0.322
total-non-cash-items,,,
change-in-accounts-payable,8.823,1.006,0.119
change-in-assets-liabilities,9.505,12.92,1.643
total-change-in-assets-liabilities,18.328,13.926,1.762
cash-flow-from-operating-activities,-81.012,-50.219,-21.867
net-change-in-property-plant-equipment,,,
net-change-in-short-term-investments,,,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,159.571,,0.01
net-total-equity-issued-repurchased,,,
financial-activities-other,-3.657,,
cash-flow-from-financial-activities,346.736,39.873,42.509
net-cash-flow,26.526,-10.415,20.639
stock-based-compensation,,,
