,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2006-09-30,2005-09-30
net-income-loss,-65.761,-199.228,-2.483,32.779,135.817,-9.602,-16.75,-77.069,-81.153,-93.351,-71.647,-33.894,0.0,-25.365,-12.715
total-depreciation-amortization-cash-flow,187.968,170.235,112.615,82.634,15.934,5.843,5.892,6.175,4.084,2.403,1.979,-0.225,,0.464,0.433
other-non-cash-items,-53.212,132.861,78.415,34.162,-144.123,10.289,10.558,9.746,14.422,14.168,9.495,8.182,,4.038,0.341
total-non-cash-items,134.756,303.096,191.03,116.796,-128.189,16.132,16.45,15.921,18.506,16.571,11.474,7.957,,4.502,0.774
change-in-accounts-receivable,16.995,-14.978,-9.906,-36.913,3.588,-0.432,-0.478,-0.147,21.565,-26.942,-0.185,0.126,,-0.085,0.05
change-in-inventories,,,,,,,,,,,,,,,
change-in-assets-liabilities,2.656,3.203,20.899,-19.32,-9.136,-6.102,7.747,-5.028,43.485,8.852,1.138,-2.748,,-1.047,-1.139
total-change-in-assets-liabilities,-8.195,2.728,57.675,-53.594,3.786,-13.304,-0.857,-2.656,61.12,-13.938,7.837,-2.783,,5.146,-0.054
cash-flow-from-operating-activities,60.8,106.596,246.222,95.981,11.414,-6.774,-1.157,-63.804,-1.527,-90.718,-52.336,-28.72,,-15.717,-11.995
net-change-in-property-plant-equipment,-2.534,-8.988,-5.46,-1.259,-0.044,1.338,-0.047,-0.507,-1.223,-2.835,-8.178,-0.884,,-0.912,-0.401
net-change-in-intangible-assets,0.0,-55.8,0.0,,,,,,,,,,,,
net-acquisitions-divestitures,519.303,,,-681.794,-595.602,-3.434,,,,,,,,,
net-change-in-short-term-investments,-4.614,167.708,-67.244,,159.821,,,,,,,132.795,,34.17,9.839
net-change-in-long-term-investments,,,,-215.793,,-9.016,-16.345,14.51,-102.518,74.233,95.756,-348.642,,-31.544,-12.765
net-change-in-investments-total,-4.614,167.708,-67.244,-215.793,159.821,-9.016,-16.345,14.51,-102.518,74.233,95.756,-215.847,,2.626,-2.926
investing-activities-other,-10.0,,,-0.195,2.883,-2.823,,,,0.061,-0.426,-0.061,,-0.016,
cash-flow-from-investing-activities,502.155,102.92,-72.704,-899.041,-432.942,-13.935,-16.392,14.003,-103.741,71.459,87.152,-216.792,,1.698,-3.327
net-long-term-debt,,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-503.054,-225.48,-17.502,507.241,487.749,,,,,,,,,,
net-common-equity-issued-repurchased,3.881,-16.445,-16.115,422.883,34.119,1.453,0.368,0.629,167.788,5.203,1.156,159.262,,35.0,17.263
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,-2.801,-51.719,-94.301,-17.655,-8.03,-0.051,,,,,,,,,
cash-flow-from-financial-activities,-501.974,-293.644,-127.918,912.469,513.838,1.402,0.368,0.629,167.788,5.203,1.156,159.262,,35.0,17.263
net-cash-flow,60.981,-84.128,45.6,109.409,92.31,-19.307,-17.181,-49.172,62.52,-14.056,35.972,-86.25,,20.981,1.941
stock-based-compensation,,,,,,,,,,,,,,,
