,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-67.723,-7.809,-7.883
total-depreciation-amortization-cash-flow,5.742,1.853,1.953
other-non-cash-items,29.322,-0.316,0.924
total-non-cash-items,35.064,1.537,2.877
change-in-accounts-receivable,-16.512,-0.507,0.317
change-in-inventories,-9.226,-3.295,0.693
change-in-accounts-payable,5.218,4.728,0.122
change-in-assets-liabilities,6.931,-0.657,0.556
total-change-in-assets-liabilities,-13.589,0.269,1.688
cash-flow-from-operating-activities,-46.248,-6.003,-3.318
net-change-in-property-plant-equipment,-49.485,-10.887,-0.488
net-change-in-intangible-assets,,,
net-change-in-short-term-investments,,,
net-change-in-investments-total,-44.876,,
investing-activities-other,,-0.397,0.006
cash-flow-from-investing-activities,-98.62,-11.815,-1.025
net-long-term-debt,414.193,,6.872
net-current-debt,,-0.199,
debt-issuance-retirement-net-total,414.193,-0.199,6.872
net-common-equity-issued-repurchased,176.091,,
net-total-equity-issued-repurchased,,,
financial-activities-other,-11.846,12.434,4.047
cash-flow-from-financial-activities,630.998,12.235,10.919
net-cash-flow,484.932,-5.208,6.802
stock-based-compensation,,,
