,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-128.081,-79.0,-142.11,-170.447,-93.753,-51.574,-26.235,30.9045
total-depreciation-amortization-cash-flow,26.178,18.65,5.477,5.463,3.842,2.396,2.704,2.8712
other-non-cash-items,60.053,37.059,42.03,35.948,19.44,14.568,0.732,2.7713
total-non-cash-items,86.231,55.709,47.507,41.411,23.282,16.964,3.436,5.6425
change-in-accounts-receivable,-29.589,-12.203,-14.842,-6.907,-3.487,0.056,0.23,2.0526
change-in-inventories,,,,,,,,
change-in-assets-liabilities,5.744,7.874,1.62,-5.375,-0.23,-17.551,-19.333,-56.2066
total-change-in-assets-liabilities,14.209,13.228,-8.963,4.699,13.197,-12.312,-25.129,-57.3138
cash-flow-from-operating-activities,-27.641,-10.063,-103.566,-124.337,-57.274,-46.922,-47.928,-20.7668
net-change-in-property-plant-equipment,-7.097,-3.101,-1.776,-2.72,-4.664,-0.846,-0.189,-0.1651
net-change-in-intangible-assets,-8.433,-77.163,,,,,,
net-acquisitions-divestitures,-48.892,,,,,,,
net-change-in-short-term-investments,,,,,,,,
net-change-in-investments-total,,,,,,,,
cash-flow-from-investing-activities,-42.613,13.117,104.481,-20.811,-145.168,-127.829,-0.189,27.7031
net-long-term-debt,,,,,,,,
debt-issuance-retirement-net-total,,40.0,,150.0,-0.049,-4.996,-6.944,-7.1856
net-common-equity-issued-repurchased,131.571,4.65,0.968,8.711,237.175,131.65,,0.0059
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,,-0.432,,-4.65,,,,
cash-flow-from-financial-activities,131.571,44.218,0.968,154.061,237.126,187.439,22.411,-7.1797
net-cash-flow,57.706,53.471,0.299,8.274,34.334,12.688,-25.706,-0.2435
stock-based-compensation,,,,,,,,
