,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-346.028,-314.67,-198.471,-117.732,-53.504,-39.407,-20.102,-23.706
total-depreciation-amortization-cash-flow,3.335,6.421,6.481,3.881,1.905,1.724,1.466,1.192
other-non-cash-items,73.295,45.12,43.432,31.996,11.506,6.872,7.459,-10.289
total-non-cash-items,76.63,51.541,49.913,35.877,13.411,8.596,8.925,-9.097
change-in-accounts-receivable,-5.09,2.438,3.339,-1.733,-6.016,-0.476,,
change-in-inventories,-0.869,,,,,,,
change-in-accounts-payable,-5.488,5.329,3.501,4.215,7.577,0.03,-0.322,0.809
change-in-assets-liabilities,-32.199,-31.392,163.426,-3.05,-20.749,-26.719,-25.212,-1.617
total-change-in-assets-liabilities,-35.023,-22.103,187.12,4.906,-19.26,-25.589,-38.371,17.584
cash-flow-from-operating-activities,-304.421,-285.232,38.562,-76.949,-59.353,-56.4,-49.548,-15.219
net-change-in-property-plant-equipment,,,,,,,,
net-change-in-long-term-investments,-266.839,-53.281,-109.435,148.473,-331.691,-85.923,24.517,-20.454
net-change-in-investments-total,-266.839,-53.281,-109.435,148.473,-331.691,-85.923,24.517,-20.454
investing-activities-other,,,,,0.571,,,
cash-flow-from-investing-activities,,,,,,,,
net-common-equity-issued-repurchased,546.415,284.472,170.008,6.58,335.88,113.517,0.142,0.057
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,-0.391,0.638,-0.23,-0.207,-0.72,10.363,,
cash-flow-from-financial-activities,546.024,285.11,169.778,6.373,335.16,123.88,0.142,77.358
net-cash-flow,-32.222,-58.03,88.99,57.733,-57.529,-19.737,-26.364,39.779
stock-based-compensation,,,,,,,,
