,2018-12-31,2017-12-31,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2015-03-31,2014-12-31
net-income-loss,60.2675,45.8243,-8.6819,10.0198,-8.1734,0.0,-1.348,-1.34
total-depreciation-amortization-cash-flow,23.1021,21.5071,0.7589,18.4388,0.6236,0.62,0.8564,0.85
other-non-cash-items,5.1756,-31.4802,-0.3366,-7.5263,3.0775,,0.3884,
total-non-cash-items,28.2776,-9.9731,0.4223,10.9124,3.7011,0.62,1.2448,0.85
change-in-accounts-receivable,,,,,,,,
change-in-assets-liabilities,1.3231,6.7005,-0.8658,2.7095,1.3516,,0.0804,
total-change-in-assets-liabilities,-63.0491,15.9827,0.1205,0.9815,2.6331,2.63,-0.1688,-0.16
cash-flow-from-operating-activities,25.496,51.8339,-8.1391,21.9138,-1.8391,6.32,-0.2719,-0.27
net-change-in-property-plant-equipment,,,,,,,,
net-acquisitions-divestitures,,37.3411,,,,0.0,-3.3561,-3.35
net-change-in-short-term-investments,-0.009,-0.0053,,-0.0104,,,0.4389,
net-change-in-long-term-investments,-17.1112,0.025,,-7.44,,,,
net-change-in-investments-total,-17.1202,0.0197,,-7.4504,,0.0,0.4389,0.43
investing-activities-other,-6.8926,-8.56,-1.0937,1.8,,,-0.2386,-0.23
cash-flow-from-investing-activities,-25.1828,26.716,-1.3913,-8.9567,-0.2471,-0.24,-3.2004,-3.2
net-long-term-debt,-0.0987,-0.1023,9.99,-0.781,-6.8975,,1.0639,
net-current-debt,7.5049,5.0,-0.0375,-1.4776,-1.006,-1.0,1.0,1.0
debt-issuance-retirement-net-total,7.4061,4.8977,9.9525,-2.2586,-7.9035,-6.89,2.0639,1.06
net-common-equity-issued-repurchased,-0.851,-0.4253,,10.6462,0.2,,,
net-total-equity-issued-repurchased,-0.851,-0.4253,0.1721,10.6462,15.2,15.2,,0.0
total-common-preferred-stock-dividends-paid,-17.7315,-10.4479,-1.2,-25.5348,-0.9545,-0.95,-0.6005,-0.6
financial-activities-other,,-9.0,,,,,0.1916,0.19
cash-flow-from-financial-activities,-11.1763,-14.9756,8.9246,-17.1472,6.342,7.36,1.655,1.65
net-cash-flow,-10.8631,63.5744,-0.6058,-4.1901,4.2558,13.44,-1.8172,-1.81
stock-based-compensation,1.4411,2.7431,1.1065,1.9542,1.104,,1.2588,
common-stock-dividends-paid,-17.7315,-10.4479,-1.2,-25.5348,-0.9545,,-0.6005,
