,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31
net-income-loss,-123.914,-126.817,-69.707,26.144,8.587,-80.856,-47.386,-83.903,-73.564,-45.889,-45.57
total-depreciation-amortization-cash-flow,0.155,1.312,2.393,2.412,2.082,2.375,3.616,3.377,3.01,5.314,1.104
other-non-cash-items,14.625,38.182,12.197,-76.949,-93.714,29.375,-5.498,4.604,-4.216,1.792,0.069
total-non-cash-items,14.78,39.494,14.59,-74.537,-91.632,31.75,-1.882,7.981,-1.206,7.106,1.173
change-in-accounts-receivable,,9.356,-11.181,7.477,-2.212,-1.022,-0.73,-0.439,-4.474,,
change-in-inventories,,,,,,,,,,,
change-in-assets-liabilities,-9.069,-4.83,-9.787,-10.848,2.54,-3.888,-8.288,-10.525,-3.137,16.969,0.275
total-change-in-assets-liabilities,-2.524,11.449,-17.763,-16.209,2.229,4.186,-2.934,-4.549,-1.878,3.413,3.109
cash-flow-from-operating-activities,-111.658,-75.874,-72.88,-64.602,-80.816,-44.92,-52.202,-80.471,-71.952,-32.361,-41.288
net-change-in-property-plant-equipment,,,,,,,,,,,
net-acquisitions-divestitures,,,,82.984,69.624,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,
net-change-in-investments-total,-443.732,,,4.371,,,,,,,1.822
investing-activities-other,,,,-1.502,-8.5,,,,,,
cash-flow-from-investing-activities,-444.75,-0.076,-0.103,85.545,61.002,-0.81,-0.293,-0.617,-3.442,-2.057,-2.793
net-long-term-debt,,-21.865,-1.167,-1.45,-12.064,,-15.1,38.299,-18.178,-4.691,16.796
net-current-debt,,,,,,,-15.051,-9.477,46.029,14.77,
debt-issuance-retirement-net-total,,-21.865,-1.167,-1.45,-12.064,,-30.151,28.822,27.851,10.079,16.796
net-common-equity-issued-repurchased,332.789,299.767,0.35,93.651,2.062,76.523,67.349,59.619,51.804,0.095,0.002
net-total-equity-issued-repurchased,,,,,,,,,,,
financial-activities-other,-1.43,,,,,,,,,,
cash-flow-from-financial-activities,331.359,277.902,-0.817,92.201,-10.002,76.523,37.198,88.441,79.655,65.104,16.798
net-cash-flow,-225.049,201.952,-73.8,113.144,-29.816,30.793,-15.297,7.353,4.261,30.686,-27.283
stock-based-compensation,,,,,,,,,,,
