,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,40.518,123.385,26.762,-14.746,-3.561,-61.555,-42.001
total-depreciation-amortization-cash-flow,15.208,20.592,19.866,22.318,24.124,46.156,29.805
other-non-cash-items,19.439,-80.884,0.924,22.424,2.871,11.285,16.639
total-non-cash-items,34.647,-60.292,20.79,44.742,26.995,57.441,46.444
change-in-accounts-receivable,-3.985,-3.407,-1.059,-0.014,-3.563,2.627,-1.442
change-in-inventories,-8.69,-9.62,-3.626,-2.609,1.5,-4.741,-6.903
change-in-accounts-payable,-2.886,0.604,5.7,-1.68,-4.047,-1.147,-2.231
change-in-assets-liabilities,-0.661,-0.388,-0.155,-0.132,-0.865,1.026,6.653
total-change-in-assets-liabilities,-13.972,-8.316,2.09,-8.234,-11.844,-11.458,-4.815
cash-flow-from-operating-activities,61.193,54.777,49.642,21.762,11.59,-15.572,-0.372
net-change-in-property-plant-equipment,,,,,,,
investing-activities-other,,,0.074,,0.228,,-0.225
cash-flow-from-investing-activities,-19.132,-16.309,3.281,-13.151,-7.682,-3.483,-8.145
net-long-term-debt,,,,,,,
debt-issuance-retirement-net-total,-2.862,-12.381,-78.729,-59.214,-0.071,6.69,-1.53
net-common-equity-issued-repurchased,1.58,3.434,51.131,73.539,0.013,0.294,0.377
net-total-equity-issued-repurchased,1.58,3.434,51.131,73.539,0.013,0.294,0.377
total-common-preferred-stock-dividends-paid,,,,,,-0.123,-3.519
financial-activities-other,-3.386,-4.503,-2.619,-13.326,-2.239,-1.249,-0.442
cash-flow-from-financial-activities,-4.668,-13.45,-30.217,0.999,-2.297,5.612,-5.114
net-cash-flow,37.111,25.112,22.582,8.857,1.161,-14.743,-12.982
stock-based-compensation,8.718,5.928,2.524,2.002,1.031,0.578,1.24
common-stock-dividends-paid,,,,,,-0.123,-3.519
