,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-173.482,-118.476,-78.253,-62.9487,-55.7813,-20.4782,-26.183,-0.8891,0.6236,-2.7933,-4.2689,-12.0323,-9.6951,-19.141
total-depreciation-amortization-cash-flow,-0.031,0.143,0.522,0.5516,0.1975,0.0021,0.0002,,0.3561,0.5487,0.0647,0.0483,0.0602,0.0537
other-non-cash-items,16.825,16.004,7.367,15.6404,26.5706,5.5862,20.2892,0.3835,-3.1455,1.4135,0.7139,1.7571,1.6765,11.8029
total-non-cash-items,16.794,16.147,7.889,16.192,26.7681,5.5883,20.2894,0.3835,-2.7894,1.9622,0.7786,1.8055,1.7367,11.8566
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,16.806,-2.451,2.284,-3.4045,-5.4434,0.1162,0.1098,0.0107,0.9454,0.6946,-0.5168,0.0487,-0.0698,-0.1547
total-change-in-assets-liabilities,27.763,8.569,8.777,2.0664,-6.0468,4.1508,0.7056,0.419,0.1957,-0.2187,-0.972,-0.0029,0.2077,1.0394
cash-flow-from-operating-activities,-128.925,-93.76,-61.587,-44.6903,-35.0599,-10.7391,-5.188,-0.0866,-1.9701,-1.0498,-4.444,-10.2297,-7.7507,-6.2449
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,0.0104,0.5194,,,,,0.0068
net-change-in-short-term-investments,32.5,19.8,29.5,-24.6437,-18.3367,-4.9199,,,,,,,1.0058,3.5
net-change-in-long-term-investments,-31.23,-28.006,-2.611,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,1.18,-8.208,26.545,-24.6859,-18.3553,-4.9256,-0.0014,0.0104,0.5165,,-0.009,-0.0091,0.9688,3.4672
net-long-term-debt,,,,,-0.6778,,,,-0.2492,0.9888,3.7593,,,
net-current-debt,,,,,,,-0.2,,,,,,,
debt-issuance-retirement-net-total,,,,,-0.6778,,-0.2,,-0.2492,0.9888,3.7593,,,
net-common-equity-issued-repurchased,113.639,133.659,5.029,68.8279,69.3733,39.7793,-0.0845,9.8247,2.1635,,0.15,7.8594,-0.0153,12.3498
net-total-equity-issued-repurchased,113.639,133.659,5.029,68.8279,69.3733,39.7793,12.1728,9.8247,2.1635,,0.15,7.8594,-0.0153,12.3498
total-common-preferred-stock-dividends-paid,,,,,,,,,,,,,,-0.0013
financial-activities-other,,,-0.013,-0.1042,-0.052,-0.0851,-0.0759,,,,,,,-0.6514
cash-flow-from-financial-activities,113.639,133.659,5.016,68.7237,68.6435,39.6941,11.8969,9.8247,1.9143,0.9888,3.9093,7.8594,-0.0153,11.6984
net-cash-flow,-14.106,31.691,-30.026,-0.6525,15.2283,24.0295,6.7075,9.7485,0.4607,-0.061,-0.5437,-2.3794,-6.7972,8.9207
stock-based-compensation,,,,,,,,,,,,,,
