,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-49.594,-53.082,-17.97
total-depreciation-amortization-cash-flow,1.912,2.612,1.314
other-non-cash-items,3.354,0.813,0.09
total-non-cash-items,5.266,3.425,1.404
change-in-accounts-receivable,,,
change-in-accounts-payable,-0.069,-0.267,3.569
change-in-assets-liabilities,-2.038,22.903,-0.755
total-change-in-assets-liabilities,1.332,24.598,3.622
cash-flow-from-operating-activities,-42.996,-25.059,-12.944
net-change-in-property-plant-equipment,,,
net-change-in-short-term-investments,,,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,129.209,0.892,0.283
net-total-equity-issued-repurchased,,,
financial-activities-other,,-0.373,
cash-flow-from-financial-activities,129.074,107.396,70.1
net-cash-flow,-27.362,33.266,18.295
stock-based-compensation,,,
