,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
net-income-loss,-109.954,-120.324,-97.183,-72.9,-13.685
total-depreciation-amortization-cash-flow,3.254,2.683,1.202,0.471,0.157
other-non-cash-items,34.105,37.564,27.837,3.807,0.802
total-non-cash-items,37.359,40.247,29.039,4.278,0.959
change-in-accounts-receivable,,,,,
change-in-accounts-payable,1.78,-1.515,3.251,-1.436,2.191
change-in-assets-liabilities,20.417,81.1,1.875,62.108,1.019
total-change-in-assets-liabilities,26.888,70.66,17.898,63.179,4.071
cash-flow-from-operating-activities,-45.707,-9.417,-50.246,-5.443,-8.655
net-change-in-property-plant-equipment,,,,,
net-change-in-short-term-investments,,,,,
net-change-in-investments-total,,,,,
cash-flow-from-investing-activities,-53.087,-183.81,-3.473,-1.431,-1.217
net-long-term-debt,-0.857,-0.764,-0.56,,
net-current-debt,,-0.6,,-0.5,0.462
debt-issuance-retirement-net-total,-0.857,-1.364,-0.56,-0.5,0.462
net-common-equity-issued-repurchased,87.797,155.898,97.721,-1.74,0.041
net-total-equity-issued-repurchased,,,,,
financial-activities-other,,,,-0.08,
cash-flow-from-financial-activities,86.94,154.534,97.161,139.391,18.483
net-cash-flow,-11.854,-38.693,43.442,132.517,8.611
stock-based-compensation,,,,,
