,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-43.274,-19.161,-17.057
total-depreciation-amortization-cash-flow,0.029,,
other-non-cash-items,2.063,0.546,2.538
total-non-cash-items,,,
change-in-accounts-payable,1.261,2.385,0.836
change-in-assets-liabilities,-3.008,-0.482,-0.309
total-change-in-assets-liabilities,-0.047,2.745,3.353
cash-flow-from-operating-activities,-41.229,-15.87,-11.166
net-change-in-property-plant-equipment,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,99.765,89.844,18.972
net-total-equity-issued-repurchased,,,
financial-activities-other,-1.002,-0.258,
cash-flow-from-financial-activities,98.763,89.586,18.972
net-cash-flow,57.356,73.612,7.806
stock-based-compensation,,,
