,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,2.64,-0.396,-6.142,-2.535,1.132,2.033,0.065,-1.177,-3.303,-2.243,-1.3826,-3.3802,-0.1297,-0.9972
total-depreciation-amortization-cash-flow,22.274,23.031,26.706,7.142,5.706,4.461,3.856,2.125,1.83,1.253,0.7946,0.5064,0.3066,0.1811
other-non-cash-items,7.359,7.752,10.001,3.731,3.129,3.726,3.851,3.025,2.869,2.596,2.3772,1.4067,0.6288,0.2981
total-non-cash-items,29.633,30.783,36.707,10.873,8.835,8.187,7.707,5.15,4.699,3.849,3.1718,1.9131,0.9354,0.4792
change-in-accounts-receivable,0.209,-5.594,-6.569,-3.215,-2.77,-7.416,-9.192,-5.226,-2.857,-3.874,-1.4664,-2.7008,-1.4428,-0.6272
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-1.352,-0.475,0.121,-3.737,0.016,-1.003,0.142,-0.03,-0.401,-0.217,-0.442,0.0053,-0.2333,-0.0642
total-change-in-assets-liabilities,12.513,-12.35,-9.088,-1.945,-0.517,-7.993,-8.264,-3.904,-3.448,-3.106,-1.9275,-1.1755,-1.4996,-0.384
cash-flow-from-operating-activities,44.786,18.037,21.477,6.393,9.45,2.227,-0.492,0.069,-2.052,-1.5,-0.1383,-2.6426,-0.6938,-0.9021
net-change-in-property-plant-equipment,-14.31,-13.69,-7.536,-2.215,-3.772,-2.011,-2.615,-0.897,-0.916,-0.964,-0.5018,-0.5161,-0.3986,-0.1176
net-change-in-intangible-assets,,,,,,,-1.037,,,,,,,
net-acquisitions-divestitures,-125.377,,1.035,-72.94,-5.83,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-139.687,-13.69,-6.501,-75.155,-9.602,-2.011,-3.652,-0.897,-0.916,-0.964,-0.5018,-0.7161,-0.3986,-0.1176
net-long-term-debt,-1.463,-6.681,27.563,50.907,-3.581,-2.606,-2.187,-1.579,-1.136,-0.537,-0.3096,-0.1685,-0.057,
net-current-debt,,,,10.002,-4.282,-4.177,4.56,0.456,2.89,-0.595,1.1469,,,
debt-issuance-retirement-net-total,-1.463,-6.681,27.563,60.909,-7.863,-6.783,2.373,-1.123,1.754,-1.132,0.8372,-0.1685,-0.057,
net-common-equity-issued-repurchased,144.094,2.586,3.768,0.935,36.87,9.533,0.511,3.482,0.18,5.759,0.0605,5.2865,1.0897,0.2117
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-0.576,,-2.202,-3.351,,,0.5,,0.5,-1.0,,-1.675,0.175,0.7064
cash-flow-from-financial-activities,91.959,-4.095,-25.871,58.493,29.007,2.75,3.384,2.359,2.434,3.627,0.8977,3.443,1.2077,0.9181
net-cash-flow,-3.01,0.296,-10.895,-10.269,28.855,2.966,-0.76,1.531,-0.534,1.163,0.2576,0.0843,0.1153,-0.1016
stock-based-compensation,,,,,,,,,,,,,,
