,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
net-income-loss,-128.154,-137.628,-100.327,-70.275,-5.152,-37.11
total-depreciation-amortization-cash-flow,8.13,8.154,7.621,5.851,5.148,2.528
other-non-cash-items,22.287,12.039,16.318,17.24,7.063,12.214
total-non-cash-items,30.417,20.193,23.939,23.091,12.211,14.742
change-in-accounts-receivable,-18.093,6.315,-3.956,-0.45,0.341,-5.848
change-in-inventories,-4.9,-3.086,-0.431,2.929,-0.89,-9.054
change-in-accounts-payable,3.781,0.217,1.256,1.354,-2.43,6.792
change-in-assets-liabilities,45.119,2.712,3.33,-5.079,-1.019,-0.014
total-change-in-assets-liabilities,27.156,19.61,2.336,9.352,3.431,-1.764
cash-flow-from-operating-activities,-70.581,-97.825,-74.052,-37.832,10.49,-24.132
net-change-in-property-plant-equipment,,,,,,
net-change-in-long-term-investments,-1.281,23.651,70.163,-203.29,,
net-change-in-investments-total,,,,,,
cash-flow-from-investing-activities,-5.161,13.784,47.027,-210.679,-9.942,-8.245
net-long-term-debt,,75.0,,-33.163,2.625,25.225
net-current-debt,,,7.0,42.0,,
debt-issuance-retirement-net-total,,75.0,7.0,8.837,2.625,25.225
net-common-equity-issued-repurchased,113.725,5.659,6.184,181.259,0.17,0.259
net-total-equity-issued-repurchased,,,,,,
financial-activities-other,,-0.287,,0.186,-2.076,-1.377
cash-flow-from-financial-activities,113.725,80.372,13.184,190.282,56.132,57.126
net-cash-flow,37.983,-3.669,-13.841,-58.229,56.68,24.749
stock-based-compensation,,,,,,
