,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-176.061,-88.096,-21.003,-83.313,-98.6,-108.408,-58.648,180.356,37.29,-64.012,-62.637,-68.881,-51.913,-21.662
total-depreciation-amortization-cash-flow,10.632,9.343,9.717,10.038,10.86,11.744,10.768,7.192,5.553,4.739,2.312,-2.331,0.245,2.017
other-non-cash-items,25.34,16.188,18.322,11.44,13.594,13.089,13.731,15.876,10.942,10.869,9.174,13.516,11.549,2.365
total-non-cash-items,35.972,25.531,28.039,21.478,24.454,24.833,24.499,23.068,16.495,15.608,11.486,11.185,11.794,4.382
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-accounts-payable,-1.158,7.446,-1.032,-3.38,1.126,2.727,-1.129,0.315,0.169,-1.353,-3.554,4.821,1.231,-0.409
change-in-assets-liabilities,-15.026,-22.907,49.999,-9.602,2.779,-5.506,26.407,-16.361,-3.51,-5.362,5.221,-2.901,11.247,-3.312
total-change-in-assets-liabilities,-15.501,33.48,1.953,-9.68,8.978,-3.257,43.148,10.301,-54.842,-6.89,2.73,1.36,14.909,0.261
cash-flow-from-operating-activities,-155.59,-29.085,8.989,-71.515,-65.168,-86.832,8.999,213.725,-1.057,-55.294,-48.421,-56.336,-25.21,-17.019
net-change-in-property-plant-equipment,-7.572,-16.86,-5.609,-4.068,-8.36,-9.45,-15.491,-8.699,-1.671,-1.654,-3.411,-8.817,-9.78,-3.726
net-change-in-intangible-assets,,,,,,,,-6.664,0.0,,,-2.5,,
net-acquisitions-divestitures,,,,,,,,-4.5,,,,,,
net-change-in-short-term-investments,105.653,-104.219,85.657,-159.766,83.533,68.036,8.484,-248.857,20.736,-20.619,51.614,72.209,-36.564,-89.551
net-change-in-long-term-investments,,,,,,,-0.4,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,98.081,-121.079,80.048,-163.834,75.173,58.586,-7.407,-268.72,19.065,-22.273,48.203,60.892,-46.344,-93.277
net-long-term-debt,,,,,,,,-1.729,-2.344,-2.2,-1.696,3.03,3.28,1.242
net-current-debt,,,,,,,,,,-0.017,-0.721,-0.883,-0.845,0.655
debt-issuance-retirement-net-total,,,,,,,,-1.729,-2.344,-2.217,-2.417,2.147,2.435,1.897
net-common-equity-issued-repurchased,247.058,74.348,1.341,235.461,21.578,5.022,2.153,5.546,63.82,47.335,25.306,0.856,62.663,122.575
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,,,,,,,,-0.258,-0.737,-0.687,-0.639,3.128,2.917,0.036
cash-flow-from-financial-activities,247.058,74.348,1.341,235.461,21.578,5.022,2.153,3.559,60.739,44.431,22.25,6.131,68.015,124.508
net-cash-flow,189.549,-75.816,90.378,0.112,31.583,-23.224,3.745,-51.436,78.747,-33.136,22.032,10.687,-3.539,14.212
stock-based-compensation,,,,,,,,,,,,,,
