,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
current-ratio,,,,,,,,,
roe,-8.0388,-7.5812,-6.2298,-15.2756,,,,,
return-on-tangible-equity,-8.0388,-7.5812,-6.2298,-15.2756,,,,,
roa,-7.4638,-7.1341,-5.857,-14.7055,,,,,
roi,-8.0388,-7.5812,-6.2298,-15.2756,,,,,
book-value-per-share,4.769,5.1454,5.5396,5.8723,,,,,
operating-cash-flow-per-share,-1.2237,-0.7772,-0.298,-1.7217,-9.6763,-5.538,-2.2417,,
free-cash-flow-per-share,-1.2523,-0.7912,-0.3024,-1.818,-10.4141,-5.8923,-2.2905,,
