,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,14.138,13.632,10.948,7.065,5.556,3.342,2.068,0.757,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.2
total-current-assets,613.486,699.431,786.887,522.369,567.48,604.743,581.58,269.583,390.903,419.794,444.685,401.695,416.785,411.084,430.234,450.207,460.707,336.53,350.514,193.416,206.741,158.216,169.636,55.225,,,,86.44,10.95
net-property-plant-equipment,31.877,25.317,21.696,20.046,19.828,20.858,20.83,21.837,16.03,16.405,16.517,17.055,18.226,17.054,13.418,7.373,6.285,4.772,3.514,3.033,2.621,2.497,1.777,1.325,,,,1.71,0.79
long-term-investments,26.333,24.167,,,,,29.907,9.975,24.964,57.802,80.862,117.963,76.211,50.021,75.932,99.259,133.492,,,,,,,,,,,,
goodwill-intangible-assets-total,173.426,173.475,173.492,173.629,174.638,177.182,181.528,185.951,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,34.822,36.537,25.684,3.514,3.199,3.239,3.505,3.407,3.15,3.541,3.758,3.913,3.944,3.792,4.6,2.73,1.646,1.702,1.812,1.518,1.569,1.873,1.294,3.099,,,,0.5,0.41
total-long-term-assets,266.458,259.496,220.872,197.189,197.665,201.279,235.77,221.17,44.144,77.748,101.137,138.931,98.381,70.867,93.95,109.362,141.423,6.474,5.326,4.551,4.19,4.37,3.071,4.424,,,,2.21,1.2
total-assets,879.944,958.927,1007.759,719.558,765.145,806.022,817.35,490.753,435.047,497.542,545.822,540.626,515.166,481.951,524.184,559.569,602.13,343.004,355.84,197.967,210.931,162.586,172.707,59.649,0.0,0.0,0.0,88.31,12.12
total-current-liabilities,90.307,75.006,66.88,74.725,66.681,66.049,57.583,71.014,64.261,62.675,51.755,60.259,50.431,31.983,29.88,27.918,24.733,23.042,14.243,12.517,11.072,8.943,6.811,5.921,,,,3.18,0.99
long-term-debt,31.206,32.968,22.984,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,4.759,4.702,4.836,4.944,5.119,5.228,5.414,5.589,6.393,8.845,6.073,4.48,0.561,0.634,0.684,0.478,0.505,0.533,0.56,0.182,0.2,,,,0.27,0.27
total-long-term-liabilities,62.372,64.134,54.15,35.925,35.868,36.002,36.11,36.285,5.228,5.414,5.589,6.393,8.845,6.073,4.48,0.561,0.634,0.684,0.478,0.505,0.533,0.56,0.182,3.619,,,,0.78,0.48
total-liabilities,152.679,139.14,121.03,110.65,102.549,102.051,93.693,107.299,69.489,68.089,57.344,66.652,59.276,38.056,34.36,28.479,25.367,23.726,14.721,13.022,11.605,9.503,6.993,9.54,0.0,0.0,0.0,3.97,1.48
common-stock-net,0.058,0.058,0.057,0.051,0.051,0.05,0.05,0.044,0.042,0.042,0.042,0.041,0.04,0.039,0.039,0.039,0.039,0.036,0.036,0.032,0.032,0.03,0.03,0.004,0.0,0.0,0.0,0.003,0.003
retained-earnings-accumulated-deficit,-1339.205,-1226.211,-1127.039,-1030.283,-942.457,-855.147,-802.419,-832.672,-750.941,-671.714,-598.823,-530.533,-459.246,-394.339,-337.416,-284.659,-229.439,-190.207,-160.42,-139.041,-122.302,-106.454,-92.869,-74.836,,,,-27.05,-8.15
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,727.265,819.787,886.729,608.908,662.596,703.971,723.657,383.454,365.558,429.453,488.478,473.974,455.89,443.895,489.824,531.09,576.763,319.278,341.119,184.945,199.326,153.083,165.714,50.109,0.0,0.0,0.0,84.34,10.64
total-liabilities-share-holders-equity,879.944,958.927,1007.759,719.558,765.145,806.022,817.35,490.753,435.047,497.542,545.822,540.626,515.166,481.951,524.184,559.569,602.13,343.004,355.84,197.967,210.931,162.586,172.707,59.649,0.0,0.0,0.0,88.31,12.12
