,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
cash-on-hand,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,
total-current-assets,112.486,132.803,150.449,177.028,80.455,91.936,101.414,115.213,122.935,27.894,,,,,
net-property-plant-equipment,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,45.828,43.291,43.718,41.772,2.309,2.404,2.496,0.547,0.133,0.134,,,,,
total-long-term-assets,48.527,46.012,46.567,43.938,3.62,3.654,3.575,1.333,0.756,0.697,,,,,
total-assets,161.013,178.815,197.016,220.966,84.075,95.59,104.989,116.546,123.691,28.591,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,17.996,17.701,14.602,17.01,12.685,9.397,4.972,14.872,11.184,7.85,,,,,
long-term-debt,70.935,70.692,70.457,70.226,16.456,18.1,19.746,11.987,13.629,7.488,,,,,
other-non-current-liabilities,29.026,29.356,29.59,28.752,,,,0.008,0.015,2.281,,,,,
total-long-term-liabilities,99.961,100.048,100.047,98.978,16.456,18.1,19.746,11.995,13.644,9.769,,,,,
total-liabilities,117.957,117.749,114.649,115.988,29.141,27.497,24.718,26.867,24.828,17.619,0.0,,0.0,0.0,0.0
common-stock-net,0.035,0.034,0.034,0.034,0.025,0.025,0.025,0.025,0.024,0.001,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,43.056,61.066,82.367,104.978,54.934,68.093,80.271,89.679,98.863,10.972,0.0,,0.0,0.0,0.0
total-liabilities-share-holders-equity,161.013,178.815,197.016,220.966,84.075,95.59,104.989,116.546,123.691,28.591,0.0,,0.0,0.0,0.0
