,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
total-current-assets,200.488,227.733,245.015,258.948,265.28,267.441,282.068,176.869,,,,
net-property-plant-equipment,10.011,10.362,11.026,11.107,11.762,12.513,11.813,11.23,,,,
long-term-investments,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,0.466,0.522,0.518,0.487,0.408,0.408,0.408,1.705,,,,
total-long-term-assets,16.469,11.241,13.515,15.977,21.441,26.424,23.331,13.617,,,,
total-assets,216.957,238.974,258.53,274.925,286.721,293.865,305.399,190.486,0.0,0.0,0.0,0.0
total-current-liabilities,,,,,,,,,,,,
other-non-current-liabilities,4.901,5.293,5.688,6.064,6.443,6.824,7.209,5.305,,,,
total-long-term-liabilities,18.673,15.815,17.96,23.048,24.989,22.911,24.546,23.892,,,,
total-liabilities,39.73,42.328,36.963,39.983,41.6,39.291,38.808,36.618,0.0,0.0,0.0,0.0
common-stock-net,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-188.728,-166.376,-138.286,-122.828,-110.533,-99.722,-86.188,-73.234,,,,
comprehensive-income,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,177.227,196.646,221.567,234.942,245.121,254.574,266.591,153.868,0.0,0.0,0.0,0.0
total-liabilities-share-holders-equity,216.957,238.974,258.53,274.925,286.721,293.865,305.399,190.486,0.0,0.0,0.0,0.0
