,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-03-31,2015-03-31
cash-on-hand,231.4729,57.4136,94.1508,108.0186,128.574,111.5986,124.2848,118.898,,,8.66,57.02,9.27,5.01
notes-loans-receivable,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,0.26,1.85,0.29,0.79
total-current-assets,321.3607,167.6257,176.9121,172.8628,202.8335,152.7629,180.6154,144.1596,,,14.92,81.15,13.55,9.85
net-property-plant-equipment,12.4271,12.1014,12.3323,12.7211,12.9092,13.2972,13.7,13.8143,,,,18.57,1.25,1.14
long-term-investments,36.7361,36.308,34.4323,35.282,41.2017,40.6242,21.8755,21.9035,,,,34.83,,
goodwill-intangible-assets-total,351.3011,318.3837,268.8625,272.6818,280.3677,284.5318,288.0718,293.3808,0.0,0.0,3.52,211.5,3.97,3.54
other-long-term-assets,15.9194,16.4112,10.8197,1.9514,2.0867,2.261,2.3311,2.3776,,,0.99,12.13,0.74,0.74
total-long-term-assets,428.8837,400.7043,343.9469,340.1363,349.0655,358.2142,340.9785,346.4763,,,4.51,277.03,5.99,5.68
total-assets,750.2444,568.33,520.859,512.999,551.8989,510.9771,521.5939,490.6358,0.0,0.0,20.64,349.99,19.56,14.99
total-current-liabilities,105.1952,78.3377,88.4008,72.0197,92.2453,89.1181,110.6168,109.602,,,14.54,50.62,7.43,5.96
long-term-debt,245.2607,56.4835,19.4693,13.5173,13.543,13.5685,0.5939,0.619,,,5.0,,,7.68
other-non-current-liabilities,1.185,1.185,1.185,1.185,1.185,9.8022,19.185,19.185,,,,1.99,2.81,2.14
total-long-term-liabilities,452.8752,303.9027,250.0815,259.4353,274.5269,247.0438,240.489,216.8504,,,5.83,211.77,3.58,10.0
total-liabilities,558.0704,382.2404,338.4822,331.4549,366.7722,336.162,351.1058,326.4524,0.0,0.0,20.37,262.41,11.01,15.98
common-stock-net,0.0348,0.0346,0.0345,0.0346,0.033,0.0328,0.0327,0.0323,0.0,0.0,0.006,0.02,0.0059,0.0049
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,0.0,0.0,0.62,0.38,2.74,1.82
total-share-holder-equity,192.174,186.0895,182.3768,181.5442,185.1267,174.8152,170.4881,164.1834,0.0,0.0,0.27,87.58,8.55,-0.99
total-liabilities-share-holders-equity,750.2444,568.33,520.859,512.999,551.899,510.9771,521.5939,490.6358,0.0,0.0,20.64,349.99,19.56,14.99
