,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
cash-on-hand,,,,,,,,,,
other-current-assets,,,,,,,,,,0.93
total-current-assets,152.362,171.722,166.913,180.772,190.88,,,,,6.901
net-property-plant-equipment,10.165,10.598,10.671,1.666,0.552,,,,,
long-term-investments,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,1.047,1.047,1.047,9.371,9.141,,,,,0.36
total-long-term-assets,21.725,20.617,11.718,14.749,9.693,,,,,0.36
total-assets,174.087,192.339,178.631,195.521,200.573,0.0,0.0,0.0,0.0,7.559
total-current-liabilities,,,,,,,,,,
total-long-term-liabilities,7.916,8.213,8.492,8.781,9.943,,,,,106.016
total-liabilities,21.412,21.661,19.641,25.661,41.487,0.0,0.0,,0.0,124.209
common-stock-net,0.002,0.002,0.002,0.002,0.002,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-160.819,-138.523,-145.638,-132.407,-141.784,,,,,-121.877
comprehensive-income,0.078,0.111,0.021,-0.128,-0.1,,,,,
other-share-holders-equity,,,,,,0.0,0.0,,0.0,-0.14
total-share-holder-equity,152.675,170.678,158.99,169.86,159.086,0.0,0.0,,0.0,-116.65
total-liabilities-share-holders-equity,174.087,192.339,178.631,195.521,200.573,0.0,0.0,,0.0,7.55
