,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,126.002,124.504,139.319,136.987,121.036,139.057,96.62,117.433,69.561,83.792,99.524,76.214,86.547,96.897,105.606,129.024,136.18,145.522,162.522,150.537,158.943,177.54,197.828,220.075,233.013,254.576,275.405,302.458,186.629,206.373,226.075,250.233,268.592,282.569,158.432,179.926,194.714,190.111,212.294,135.968,159.144,82.579,107.998,138.087,163.395,189.574,213.455,111.13,114.717,129.041,92.139,108.014,118.922,126.326,133.399,142.596,131.699,64.161,75.67
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,28.341,30.122,31.865,0.735,0.652,0.678,0.754,0.803,0.77,0.704,0.73,0.764,0.8,0.842,1.064,1.11,1.173,1.021,1.061,1.089,1.414,1.461,1.484,1.528,1.586,1.644,1.701,1.759,1.826,1.875,1.932,1.991,2.05,2.13,2.29,2.235,2.291,2.37,2.425,2.485,2.546,2.698,2.77,2.204,1.984,2.024,2.061,2.099,2.137,2.175,2.214,2.251,2.289,1.52,1.59,1.615,1.657,1.689,1.727
total-long-term-assets,30.059,31.654,33.465,2.122,2.133,2.162,2.193,1.678,1.689,1.686,1.802,1.92,2.094,2.423,2.674,2.723,2.99,2.831,3.167,3.598,4.276,4.891,5.462,5.983,6.524,7.098,7.534,7.585,7.687,7.987,7.836,6.873,7.273,7.298,7.237,6.769,6.29,5.799,4.851,4.776,5.151,5.644,6.028,5.771,5.182,5.105,4.576,4.659,4.967,5.121,5.308,5.226,5.452,4.898,5.067,5.072,4.32,4.469,4.713
total-assets,156.061,156.158,172.784,139.109,123.169,141.219,98.813,119.111,71.25,85.478,101.326,78.134,88.641,99.32,108.28,131.747,139.17,148.353,165.689,154.135,163.219,182.431,203.29,226.058,239.537,261.674,282.939,310.043,194.316,214.36,233.911,257.106,275.865,289.867,165.669,186.695,201.004,195.91,217.145,140.744,164.295,88.223,114.026,143.858,168.577,194.679,218.031,115.789,119.684,134.162,97.447,113.24,124.374,131.224,138.466,147.668,136.019,68.63,80.383
total-current-liabilities,31.006,28.38,26.138,27.734,19.696,17.365,18.79,18.337,15.006,15.873,17.245,22.588,20.632,22.001,27.711,33.796,34.838,34.174,34.349,14.025,10.201,10.065,7.865,10.294,8.303,8.472,9.158,12.204,10.585,9.5,8.039,11.527,8.422,7.785,7.041,11.326,12.939,62.302,115.151,17.773,20.31,19.527,19.701,24.151,22.34,16.364,11.761,16.112,8.127,7.362,8.86,11.238,10.736,12.798,20.185,23.647,15.141,15.62,14.862
long-term-debt,30.968,23.086,24.95,,,,,,,,,0.238,1.064,1.877,2.675,3.46,4.231,4.989,5.734,6.466,,,,,,,,,,,,,,,,0.045,0.194,0.393,0.633,0.883,1.155,1.431,1.73,2.053,1.194,0.989,0.723,0.784,0.818,1.046,1.108,1.082,1.298,1.539,1.55,1.132,0.98,1.103,1.277
other-non-current-liabilities,,,,,,0.038,0.038,0.038,0.077,,,0.002,0.008,0.015,0.021,0.027,0.033,0.039,0.046,0.051,0.057,0.063,0.069,0.074,0.08,0.085,0.091,0.096,0.102,0.107,0.112,0.117,0.123,0.128,0.133,0.137,0.142,0.147,0.152,0.157,0.162,0.166,0.171,0.178,0.189,0.202,0.213,0.225,0.237,0.248,0.351,0.363,0.374,0.386,0.397,0.409,0.42,0.431,0.428
