,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
cash-on-hand,,,,,,,,,,,,,
inventory,11.161,8.85,7.742,5.945,5.375,5.486,5.332,3.571,,,,1.528,1.0
other-current-assets,,,,,,,,,,,,0.12,0.13
total-current-assets,138.699,92.386,51.519,59.496,62.701,70.698,76.617,89.252,,,,35.243,5.72
net-property-plant-equipment,,,,,,,,,,,,,
goodwill-intangible-assets-total,23.182,3.362,3.506,3.656,3.82,3.984,4.149,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,1.6,1.578,1.569,1.536,1.836,0.684,0.683,0.653,,,,0.65,0.55
total-long-term-assets,36.846,17.022,13.657,8.115,8.492,7.074,7.066,2.527,,,,3.828,3.2
total-assets,175.545,109.408,65.176,67.611,71.193,77.772,83.683,91.779,0.0,0.0,0.0,37.117,7.35
total-current-liabilities,18.223,17.018,16.598,18.125,15.242,23.356,22.79,19.714,,,,10.955,7.78
long-term-debt,7.565,7.544,7.572,7.623,7.586,,,4.346,,,,9.344,7.64
other-non-current-liabilities,13.165,9.727,6.36,0.278,0.079,0.106,0.128,0.144,,,,0.21,0.2
total-long-term-liabilities,21.087,17.645,14.363,8.421,8.263,1.241,1.562,6.199,,,,12.676,14.74
total-liabilities,39.31,34.663,30.961,26.546,23.505,24.597,24.352,25.913,0.0,0.0,0.0,23.641,22.54
common-stock-net,0.028,0.025,0.023,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.002,0.002
retained-earnings-accumulated-deficit,-205.286,-195.416,-184.853,-175.888,-166.554,-158.897,-151.554,-144.352,,,,-115.111,-88.64
comprehensive-income,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,136.235,74.745,34.215,41.065,47.688,53.175,59.331,65.866,0.0,0.0,0.0,13.476,-15.19
total-liabilities-share-holders-equity,175.545,109.408,65.176,67.611,71.193,77.772,83.683,91.779,0.0,0.0,0.0,37.11,7.35
