,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,2.1,2.1,0.273,0.126,0.122,0.017,0.033,0.165,,,,0.186,0.02,0.176,0.139,0.096,0.134,0.187,0.266,0.453,,,,,
total-current-assets,227.771,249.813,270.064,181.562,202.255,216.715,231.176,103.544,103.659,17.869,24.557,18.528,24.48,30.164,36.49,42.274,48.573,28.303,34.492,37.229,44.399,25.432,30.933,32.239,32.113,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
other-long-term-assets,1.48,0.929,1.299,2.28,1.363,1.363,0.98,0.634,0.634,0.804,0.754,0.754,0.221,0.221,0.221,0.741,0.221,0.292,0.158,0.159,0.159,0.514,0.203,0.258,0.042,,,,
total-long-term-assets,4.029,3.622,4.093,5.185,1.453,1.453,1.083,0.703,0.685,0.863,0.822,0.831,0.306,0.311,0.28,0.805,0.29,0.367,0.238,0.245,0.25,0.601,0.263,0.261,0.051,,,,
total-assets,231.8,253.435,274.157,186.747,203.708,218.168,232.259,104.247,104.344,18.732,25.379,19.359,24.786,30.475,36.77,43.079,48.863,28.67,34.73,37.474,44.649,26.033,31.196,32.5,32.164,0.0,0.0,0.0,0.0
total-current-liabilities,17.358,15.422,14.473,14.415,13.64,16.916,17.918,16.31,14.028,11.988,10.78,9.311,7.751,7.542,6.747,6.146,6.153,8.545,13.664,20.459,15.032,13.757,15.521,9.488,2.243,,,,
long-term-debt,1.851,1.954,2.053,,,,2.142,2.99,3.809,4.599,5.362,6.098,6.809,7.496,8.159,8.799,9.198,2.429,2.784,3.152,3.476,3.793,4.099,4.407,9.684,,,,
other-non-current-liabilities,,,,1.914,,,,,0.003,0.006,0.01,0.013,0.014,0.016,0.018,0.019,0.018,0.016,0.014,0.013,0.01,0.006,0.2,0.009,,,,,
total-long-term-liabilities,1.851,1.954,2.053,1.914,1.937,2.039,2.142,2.99,3.812,4.605,5.372,6.111,6.823,7.512,8.177,8.818,9.216,2.445,2.798,3.165,3.486,3.799,4.299,4.416,9.815,,,,
total-liabilities,19.209,17.376,16.526,16.329,15.577,18.955,20.06,19.3,17.84,16.593,16.152,15.422,14.574,15.054,14.924,14.964,15.369,10.99,16.462,23.624,18.518,17.556,19.82,13.904,12.058,0.0,0.0,,0.0
common-stock-net,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,,0.0
retained-earnings-accumulated-deficit,-596.459,-570.177,-546.139,-523.064,-503.615,-485.052,-467.521,-450.516,-445.473,-437.239,-428.31,-422.959,-416.007,-410.128,-403.136,-396.288,-390.309,-384.444,-383.087,-380.759,-368.037,-362.076,-358.904,-348.842,-344.928,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
total-share-holder-equity,212.591,236.059,257.631,170.418,188.131,199.213,212.199,84.947,86.504,2.139,9.227,3.937,10.212,15.421,21.846,28.115,33.494,17.68,18.268,13.85,26.131,8.477,11.376,18.596,20.106,0.0,0.0,,0.0
total-liabilities-share-holders-equity,231.8,253.435,274.157,186.747,203.708,218.168,232.259,104.247,104.344,18.732,25.379,19.359,24.786,30.475,36.77,43.079,48.863,28.67,34.73,37.474,44.649,26.033,31.196,32.5,32.164,0.0,0.0,,0.0
