,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
cash-on-hand,,,,,,,,,,,,,,,,
inventory,2.371,0.111,0.379,,,,,,,,,,,,,
other-current-assets,0.069,0.078,0.13,0.046,0.166,0.102,0.047,0.167,0.128,0.085,0.04,0.047,,,,0.12
total-current-assets,71.668,79.284,87.023,95.522,102.979,107.197,52.83,57.457,63.062,5.323,3.697,5.465,,,,25.03
net-property-plant-equipment,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,1.405,1.812,1.794,1.419,0.341,0.307,0.27,0.357,0.317,0.28,0.222,0.164,,,,0.04
total-long-term-assets,24.742,24.292,23.648,23.269,21.646,21.644,19.037,14.71,12.511,11.614,11.395,11.158,,,,1.34
total-assets,96.41,103.576,110.671,118.791,124.625,128.841,71.867,72.167,75.573,16.937,15.092,16.623,0.0,0.0,0.0,25.99
total-current-liabilities,5.791,4.968,4.65,7.004,6.869,5.042,2.972,4.254,5.087,8.9,4.048,2.865,,,,1.03
long-term-debt,18.331,18.259,18.162,18.227,17.433,17.444,14.757,10.148,7.934,,,,,,,
other-non-current-liabilities,0.159,0.159,0.156,0.163,,,,0.289,,,,,,,,
total-long-term-liabilities,18.49,18.418,18.318,18.39,17.524,17.56,15.035,10.437,8.374,0.453,0.623,0.639,,,,0.7
total-liabilities,24.281,23.386,22.968,25.394,24.393,22.602,18.007,14.691,13.461,9.353,4.671,3.504,0.0,0.0,0.0,1.73
common-stock-net,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.001,0.002,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,
other-share-holders-equity,-0.055,-0.038,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,72.129,80.19,87.703,93.397,100.232,106.239,53.86,57.476,62.112,7.584,10.421,13.119,0.0,0.0,0.0,24.25
total-liabilities-share-holders-equity,96.41,103.576,110.671,118.791,124.625,128.841,71.867,72.167,75.573,16.937,15.092,16.623,0.0,0.0,0.0,25.99
