,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,27.396,28.086,31.465,29.014,10.8,21.147,27.662,37.501,39.87,43.914,46.054,43.135,40.935,55.553,39.667,36.476,46.838,49.202,45.831,26.837,27.215,31.401,31.154,26.172,26.245,31.69,28.586,20.957,19.24,29.413,28.659,28.382,29.769,42.145,44.795,38.418,26.1819,20.0147,23.6119,6.8925,5.7754,6.0723,5.0643,6.1436,7.4539,6.4746,6.743,7.7243,7.1779,5.9959,5.094,6.2211,7.1421,7.3511,6.3375,6.7574,,,
other-current-assets,4.005,2.342,7.747,10.194,6.802,2.007,1.454,1.983,7.399,4.744,4.565,5.76,4.863,5.616,17.075,7.959,7.563,8.167,6.995,7.324,10.374,10.124,7.727,8.46,6.558,10.759,11.06,9.547,9.483,9.409,10.78,6.988,7.781,4.333,4.343,3.734,3.2607,3.5749,3.371,3.9806,4.5303,2.9327,1.8403,1.6056,0.9758,0.952,0.9698,1.2935,1.4357,0.9049,1.1917,6.2594,1.4411,1.7545,2.281,1.7126,,,
total-current-assets,314.337,358.37,417.904,528.107,546.595,494.552,428.188,441.698,303.415,255.609,248.152,272.657,237.952,263.164,544.281,451.317,429.568,427.633,423.836,390.718,843.889,693.129,363.419,367.333,387.803,412.905,390.875,333.063,292.829,327.237,347.714,360.942,334.373,305.853,305.68,311.169,299.5128,263.7802,285.993,293.2803,311.3199,341.4929,242.1405,262.0478,278.4097,164.2016,175.2614,111.0338,120.1028,117.0531,55.9877,72.2334,32.8779,36.344,41.4401,25.4639,,,
net-property-plant-equipment,130.585,113.455,83.032,60.519,52.061,42.524,39.023,36.669,36.484,37.368,37.132,34.31,35.777,36.754,38.027,40.204,42.415,44.453,45.919,46.09,17.089,15.823,16.44,16.525,17.752,17.74,16.936,16.706,16.437,14.29,6.521,3.858,3.595,3.543,3.594,3.203,3.321,2.7877,2.087,1.8913,3.3438,3.044,2.78,1.8414,1.8688,1.8261,1.8671,1.6517,1.7412,1.4274,1.4203,1.2227,1.2771,1.4817,1.577,1.7071,,,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,121.855,101.732,93.299,57.069,29.05,41.559,99.363,86.434,47.118,17.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,410.023,699.467,705.905,710.629,712.01,712.862,719.368,717.214,990.458,1024.6,1018.907,1022.841,1033.444,1036.028,614.127,614.492,614.915,614.711,615.107,615.774,16.865,17.281,17.959,17.459,17.59,9.875,9.446,9.319,9.279,8.755,8.95,8.769,7.053,20.502,20.707,21.336,22.0134,22.6573,23.1801,17.1486,15.6034,15.9241,16.2448,17.0722,17.1551,17.7513,18.3476,13.9439,14.3332,14.7226,9.9501,10.1776,5.398,5.5827,5.7675,5.9523,,,
other-long-term-assets,24.968,26.17,27.097,0.411,0.419,0.678,0.494,0.75,8.505,8.51,9.138,5.855,5.814,5.876,0.239,0.247,10.316,10.53,10.739,6.137,6.341,6.487,0.337,0.352,0.376,0.392,0.413,0.437,0.507,0.528,0.538,0.477,0.477,0.438,0.309,0.343,0.359,0.3824,0.4108,0.4403,0.4548,0.469,0.5006,0.5393,0.545,0.6193,0.6536,0.677,0.6809,0.7047,0.7276,0.7343,0.7644,0.7843,0.7681,0.7885,,,
total-long-term-assets,565.576,839.092,816.034,771.559,764.49,756.064,758.885,756.271,1041.643,1076.833,1071.69,1069.678,1080.416,1083.375,667.413,659.977,670.71,672.9171,675.146,674.347,128.878,250.188,248.468,239.794,198.844,163.001,174.548,232.269,117.624,75.816,38.338,18.546,16.725,30.242,30.527,30.932,31.9084,32.2074,32.223,26.1903,26.2771,26.6774,19.5254,19.4529,19.5688,20.1968,20.8683,16.2726,16.7554,16.8547,12.098,12.1346,7.4395,7.8487,8.1126,8.4479,,,
total-assets,879.913,1197.462,1233.938,1299.666,1311.085,1250.616,1187.073,1197.969,1345.058,1332.442,1319.842,1342.335,1318.368,1346.539,1211.694,1111.294,1100.278,1100.55,1098.982,1065.065,972.767,943.317,611.887,607.127,586.647,575.906,565.423,565.332,410.453,403.053,386.052,379.488,351.098,336.095,336.207,342.101,331.4212,295.9875,318.216,319.4706,337.597,368.1703,261.6658,281.5007,297.9785,184.3984,196.1297,127.3065,136.8582,133.9078,68.0857,84.368,40.3174,44.1927,49.5527,33.9118,0.0,0.0,0.0
