,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
cash-on-hand,,,,,,,,,,,,,
total-current-assets,204.435,196.203,107.894,112.65,52.821,45.71,47.669,49.914,52.618,,,,
net-property-plant-equipment,,,,,,,,,,0.0,0.0,,0.0
other-long-term-assets,2.934,2.992,3.456,0.452,,0.064,,,,,,,
total-long-term-assets,9.797,8.953,7.81,3.466,1.632,0.32,0.182,0.2,0.055,,,,
total-assets,214.232,205.156,115.704,116.116,54.453,46.03,47.851,50.114,52.673,0.0,0.0,0.0,0.0
total-current-liabilities,3.726,3.94,3.242,2.596,1.916,0.759,0.452,0.64,2.475,,,,
long-term-debt,2.86,2.926,2.976,,,,,,,,,,
other-non-current-liabilities,,,,0.294,0.245,,,,,,,,
total-long-term-liabilities,2.86,2.926,2.976,0.294,0.245,,,,,,,,
total-liabilities,,,,,,,,,,0.0,0.0,,0.0
retained-earnings-accumulated-deficit,-33.69,-29.418,-24.07,-19.959,-16.251,-13.496,-11.22,-9.07,-7.677,,,,
comprehensive-income,,,,,,,,,,0.0,0.0,,0.0
total-share-holder-equity,207.646,198.29,109.486,113.226,52.292,45.271,47.399,49.474,50.198,0.0,0.0,,0.0
total-liabilities-share-holders-equity,214.232,205.156,115.704,116.116,54.453,46.03,47.851,50.114,52.673,0.0,0.0,,0.0
