,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
other-current-assets,,,,,,,,,,,3.88
total-current-assets,177.325,110.868,124.864,145.858,160.64,61.604,,,,,13.624
net-property-plant-equipment,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,4.943,3.646,4.203,2.219,1.477,5.326,,,,,1.74
total-long-term-assets,6.258,4.934,5.447,3.579,2.652,6.491,,,,,3.489
total-assets,183.583,115.802,130.311,149.437,163.292,68.095,0.0,0.0,0.0,0.0,16.988
total-current-liabilities,23.702,22.357,15.456,15.409,13.524,14.244,,,,,3.932
long-term-debt,1.228,,,,,,,,,,
other-non-current-liabilities,0.323,1.961,1.956,0.807,0.533,0.584,,,,,0.82
total-long-term-liabilities,1.551,1.961,1.956,0.807,0.533,149.981,,,,,0.82
total-liabilities,25.253,24.318,17.412,16.216,14.057,164.225,0.0,,0.0,0.0,4.754
common-stock-net,0.004,0.003,0.003,0.003,0.003,0.001,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-201.154,-185.991,-162.785,-139.769,-122.555,-100.896,,,,,-24.501
comprehensive-income,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,158.33,91.484,112.899,133.221,149.235,-96.13,0.0,,0.0,0.0,12.234
total-liabilities-share-holders-equity,183.583,115.802,130.311,149.437,163.292,68.095,0.0,,0.0,0.0,16.98
