,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
total-assets,170446.0,156199.0,155421.0,159422.0,167838.0,164980.0,164612.0,171797.0,172151.0,168558.0,168784.0,171615.0,178430.0,170658.0,162929.0,167381.0,170867.0,160878.0,160640.0,167566.0,171362.0,172612.0,171808.0,172101.0,175521.0,179335.0,187398.0,185798.0,182603.0,182842.0,185683.0,188002.0,196132.0,195899.0,194956.0,195014.0,191415.0,191071.0,195113.0,212949.0,141294.0,139339.0,122932.0,111148.0,115249.0,116515.0,118550.0,115268.0,109030.0,110403.0,110483.0,115546.0,108585.0,111550.0,112959.0,116970.0,110343.0,112327.0,122935.0
total-current-liabilities,36974.0,32030.0,29423.0,31858.0,29013.0,32156.0,27365.0,30427.0,28217.0,27182.0,24864.0,31115.0,34759.0,32099.0,28735.0,29399.0,27845.0,24143.0,20222.0,21587.0,19920.0,21938.0,24790.0,23366.0,20373.0,23450.0,27543.0,29186.0,29131.0,30798.0,27094.0,28909.0,27856.0,30471.0,29171.0,28636.0,24172.0,24681.0,25924.0,37225.0,23992.0,26109.0,23340.0,27009.0,21503.0,23193.0,21682.0,21835.0,14328.0,15136.0,13301.0,22099.0,17688.0,20055.0,19674.0,28402.0,20395.0,22566.0,28948.0
long-term-debt,36044.0,36168.0,35733.0,32909.0,33652.0,28935.0,31831.0,33538.0,34503.0,34191.0,36330.0,31398.0,30437.0,30457.0,27824.0,28740.0,29079.0,26729.0,29370.0,31541.0,31666.0,32267.0,27649.0,30462.0,31812.0,31532.0,31481.0,31036.0,31083.0,30868.0,33543.0,34926.0,35399.0,35723.0,35308.0,38410.0,39010.0,37765.0,38281.0,43193.0,32402.0,31864.0,21064.0,7963.0,7152.0,7246.0,8143.0,7314.0,6041.0,5777.0,4771.0,5546.0,5561.0,5450.0,6508.0,6347.0,5414.0,5517.0,6432.0
other-non-current-liabilities,18885.0,18604.0,21058.0,20587.0,21656.0,21544.0,22249.0,24846.0,10692.0,10536.0,10945.0,10337.0,10826.0,9634.0,9233.0,9249.0,9439.0,9669.0,9937.0,9236.0,8196.0,8038.0,8200.0,8760.0,11539.0,12050.0,11899.0,11432.0,11272.0,12935.0,12103.0,12986.0,13139.0,11761.0,11560.0,11846.0,14771.0,15188.0,14008.0,14611.0,9979.0,10014.0,9596.0,9638.0,9107.0,9240.0,9471.0,8992.0,9231.0,8450.0,7206.0,2852.0,2782.0,3019.0,2718.0,2645.0,2734.0,3141.0,2941.0
total-long-term-liabilities,68077.0,64244.0,66839.0,63806.0,67161.0,62701.0,66706.0,69714.0,82824.0,82682.0,85174.0,80660.0,80070.0,75492.0,70848.0,72985.0,75897.0,69555.0,72832.0,74358.0,73137.0,73718.0,68950.0,72115.0,76794.0,76908.0,77028.0,74934.0,71357.0,72083.0,74912.0,76472.0,77746.0,76465.0,75252.0,78113.0,79175.0,79512.0,79107.0,85278.0,51052.0,49995.0,39151.0,26399.0,26411.0,26753.0,29451.0,28423.0,28092.0,27173.0,24694.0,22089.0,21185.0,23006.0,23676.0,22804.0,23141.0,24433.0,26455.0
total-liabilities,105051.0,96274.0,96263.0,95664.0,96174.0,94856.0,94071.0,100141.0,111041.0,109863.0,110038.0,111776.0,114829.0,107592.0,99582.0,102384.0,103743.0,93698.0,93053.0,95944.0,93057.0,95656.0,93740.0,95481.0,97167.0,100358.0,104571.0,104120.0,100488.0,102881.0,102006.0,105381.0,105602.0,106936.0,104423.0,106749.0,103347.0,104193.0,105031.0,122503.0,75044.0,76104.0,62491.0,53408.0,47914.0,49946.0,51133.0,50258.0,42420.0,42309.0,37995.0,44188.0,38873.0,43061.0,43350.0,51206.0,43536.0,46999.0,55403.0
common-stock-net,468.0,468.0,468.0,467.0,466.0,465.0,465.0,464.0,463.0,463.0,463.0,461.0,461.0,461.0,460.0,459.0,459.0,458.0,458.0,455.0,455.0,454.0,454.0,453.0,452.0,451.0,450.0,448.0,447.0,447.0,446.0,445.0,445.0,445.0,444.0,444.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,442.0,442.0,442.0,441.0,441.0,441.0,440.0,439.0,439.0,439.0,439.0,438.0
retained-earnings-accumulated-deficit,100113.0,94440.0,93388.0,89554.0,91995.0,89860.0,89961.0,85291.0,75043.0,74107.0,74847.0,71774.0,72846.0,73350.0,74971.0,71993.0,74019.0,73620.0,74471.0,72176.0,74292.0,71627.0,72028.0,69732.0,70381.0,67628.0,56972.0,54240.0,51256.0,47904.0,48124.0,46210.0,48121.0,44320.0,44926.0,42716.0,42873.0,42010.0,42429.0,40426.0,54835.0,51965.0,51863.0,49142.0,53175.0,50912.0,52436.0,49660.0,51063.0,50304.0,53063.0,49669.0,43991.0,40627.0,41715.0,37608.0,38033.0,36446.0,35785.0
comprehensive-income,-11801.0,-11535.0,-10923.0,-11275.0,-10417.0,-10003.0,-9402.0,-9321.0,-9164.0,-10181.0,-10594.0,-11036.0,-8214.0,-8891.0,-9520.0,-9522.0,-9170.0,-8521.0,-8557.0,-7316.0,-3467.0,-3152.0,-3390.0,-3271.0,-6383.0,-6465.0,-6155.0,-5953.0,-5653.0,-6008.0,-3622.0,-4129.0,-1211.0,-952.0,-2056.0,-3440.0,-3698.0,-4407.0,-1941.0,552.0,-1896.0,-2079.0,-4673.0,-4569.0,1300.0,2921.0,1793.0,2299.0,93.0,120.0,-511.0,-469.0,1370.0,1508.0,851.0,479.0,985.0,1161.0,1909.0
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,-2.0,-2.0,-2.0,-3.0,-3.0,-3.0,-6.0,-7.0,-8.0,-25.0,-89.0,-333.0,-298.0,-304.0,-285.0,-425.0,-432.0,-399.0,-459.0,-550.0,-577.0,-604.0,-583.0,-788.0,-845.0,-700.0,-729.0,-923.0,-970.0,-1052.0,-1002.0
total-share-holder-equity,65396.0,59924.0,59158.0,63758.0,71664.0,70124.0,70541.0,71656.0,61110.0,58694.0,58746.0,59840.0,63601.0,63066.0,63347.0,64998.0,67124.0,67180.0,67587.0,71622.0,78305.0,76956.0,78068.0,76620.0,78354.0,78977.0,82827.0,81678.0,82115.0,79961.0,83677.0,82621.0,90530.0,88963.0,90533.0,88265.0,88068.0,86878.0,90082.0,90446.0,66250.0,63235.0,60441.0,57740.0,67335.0,66569.0,67417.0,65010.0,66610.0,68094.0,72488.0,71358.0,69712.0,68489.0,69609.0,65764.0,66807.0,65328.0,67532.0
total-liabilities-share-holders-equity,170446.0,156199.0,155421.0,159422.0,167838.0,164980.0,164612.0,171797.0,172151.0,168558.0,168784.0,171615.0,178430.0,170658.0,162929.0,167381.0,170867.0,160878.0,160640.0,167566.0,171362.0,172612.0,171808.0,172101.0,175521.0,179335.0,187398.0,185798.0,182603.0,182842.0,185683.0,188002.0,196132.0,195899.0,194956.0,195014.0,191415.0,191071.0,195113.0,212949.0,141294.0,139339.0,122932.0,111148.0,115249.0,116515.0,118550.0,115268.0,109030.0,110403.0,110483.0,115546.0,108585.0,111550.0,112959.0,116970.0,110343.0,112327.0,122935.0
