,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
cash-on-hand,,,,,,,,,
other-current-assets,,,,,,,,0.066,
total-current-assets,157.66,168.732,180.652,190.044,,,,3.727,
net-property-plant-equipment,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,4.022,3.033,3.186,0.08,,,,0.05,
total-long-term-assets,6.011,4.661,4.614,1.462,,,,0.898,
total-assets,163.671,173.393,185.266,191.506,0.0,0.0,0.0,4.469,0.0
total-current-liabilities,,,,,,,,,
other-non-current-liabilities,3.351,2.818,2.931,,,,,,
total-long-term-liabilities,3.351,2.818,2.931,0.104,,,,0.013,
total-liabilities,11.708,10.227,11.086,7.146,0.0,0.0,0.0,0.894,0.0
common-stock-net,0.032,0.032,0.031,0.031,0.0,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-104.915,-92.699,-80.329,-69.478,,,,-12.869,
comprehensive-income,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,151.963,163.166,174.18,184.36,0.0,0.0,0.0,3.575,0.0
total-liabilities-share-holders-equity,163.671,173.393,185.266,191.506,0.0,0.0,0.0,4.469,0.0
