,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-09-30
cash-on-hand,,,,,,,,,
inventory,5.496,4.449,5.561,6.028,,,,1.82,
other-current-assets,,,,,,,,1.49,
total-current-assets,182.622,120.991,146.663,95.671,,,,67.86,
net-property-plant-equipment,,,,,,,,,
goodwill-intangible-assets-total,1.697,1.748,1.799,1.85,0.0,0.0,0.0,2.05,0.0
other-long-term-assets,2.669,2.491,2.395,5.939,,,,0.89,
total-long-term-assets,24.183,19.179,17.79,20.12,,,,29.71,
total-assets,206.805,140.17,164.453,115.791,0.0,0.0,0.0,85.65,0.0
total-current-liabilities,25.447,18.58,18.998,18.537,,,,9.47,
long-term-debt,5.119,5.828,6.526,7.218,,,,9.15,
other-non-current-liabilities,0.236,0.282,0.333,0.344,,,,0.1,
total-long-term-liabilities,5.355,6.11,6.859,8.193,,,,9.89,
total-liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-287.343,-259.427,-233.494,-210.855,,,,-139.61,
comprehensive-income,0.117,-0.136,0.024,0.087,,,,,
other-share-holders-equity,,,,,0.0,0.0,0.0,0.03,0.0
total-share-holder-equity,176.003,115.48,138.596,89.061,0.0,0.0,0.0,66.27,0.0
total-liabilities-share-holders-equity,206.805,140.17,164.453,115.791,0.0,0.0,0.0,85.65,0.0
