,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,114.717,109.586,119.53,111.062,103.648,99.562,104.544,138.542,164.913,156.576,151.534,123.184,143.887,140.136,131.607,109.92,130.851,127.055,107.721,85.63,101.405,103.006,98.738,89.965,101.407,96.765,74.066,71.221,69.465,67.337,67.325,62.095,65.809,67.961,67.675,61.408,66.288,57.33,60.064,58.369,61.341,64.164,60.508,61.133,69.506,76.526,75.442,61.44,61.881,60.125,56.193,53.893,110.84,110.452,105.785,81.08,101.716,97.688,96.875
other-current-assets,100.786,96.722,76.069,33.49,112.845,107.083,88.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,405.949,400.812,373.025,410.092,416.81,504.223,462.741,422.078,378.082,366.239,332.804,322.655,289.02,279.907,283.795,259.279,246.002,253.359,233.169,223.762,194.402,212.982,182.236,202.56,198.674,170.957,155.74,143.97,145.209,140.471,132.666,136.609,134.401,155.036,146.518,135.129,148.77,121.088,146.218,149.413,153.345,149.466,138.567,139.156,141.257,158.646,178.695,165.035,157.033,150.623,456.708,224.75,228.958,230.795,211.797,229.526,224.971,232.604,276.554
net-property-plant-equipment,392.565,402.202,398.774,360.528,352.947,266.075,270.378,254.299,248.945,237.796,223.767,217.092,209.213,204.178,203.616,186.487,180.598,172.417,158.994,163.567,162.269,170.164,169.6,171.966,166.99,161.927,155.735,151.815,138.794,133.73,140.825,139.628,142.446,152.057,154.329,150.483,153.614,140.808,153.468,161.149,166.303,160.599,153.735,161.5,166.001,184.982,181.14,165.657,156.622,145.425,141.933,141.863,239.812,240.052,232.504,201.784,258.446,259.458,272.148
long-term-investments,,,,,,,,,,,,,,,,,,,,,0.788,0.787,13.864,13.364,13.023,14.594,15.241,15.094,15.415,15.573,15.563,15.09,16.81,18.878,19.344,19.709,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,653.838,660.755,664.016,448.3,463.383,55.617,57.814,57.494,57.429,56.894,55.52,55.123,40.251,40.021,40.487,38.754,51.545,51.771,50.164,57.511,54.016,56.377,42.607,42.681,42.012,40.981,40.336,41.403,40.782,39.963,42.014,40.992,42.526,45.075,44.499,42.381,43.199,38.216,41.291,36.36,36.838,35.811,34.145,35.374,35.565,39.036,39.131,35.552,34.512,40.587,32.86,32.573,146.927,149.763,148.076,145.603,225.325,225.853,229.998
other-long-term-assets,42.723,42.009,42.996,3.099,3.192,3.532,3.465,3.496,3.383,3.541,3.757,3.934,4.082,3.323,1.546,1.76,3.162,3.5,3.438,,5.027,5.658,6.65,7.667,8.667,8.869,5.878,2.663,3.008,3.125,3.264,3.425,2.85,2.994,3.59,4.049,4.095,3.901,4.102,4.593,4.661,4.48,4.352,5.042,5.702,6.308,6.374,7.218,7.484,,3.132,4.898,6.414,5.469,5.543,5.985,5.55,5.24,5.226
total-long-term-assets,1100.611,1114.945,1115.765,813.336,831.079,326.672,333.479,318.487,320.269,306.842,294.674,289.21,266.04,256.968,260.407,246.26,263.681,259.497,247.914,262.825,249.93,263.088,262.424,255.477,267.771,264.586,254.778,241.761,197.999,192.391,201.666,206.222,204.632,219.004,221.762,216.622,200.908,182.925,198.861,202.102,207.802,200.89,192.232,201.916,207.268,230.326,226.645,208.427,198.618,186.012,177.925,381.626,393.153,395.284,386.123,382.946,489.321,490.551,507.372
total-assets,1506.56,1515.757,1488.79,1223.428,1247.889,830.895,796.22,740.565,698.351,673.081,627.478,611.865,555.06,536.875,544.202,505.539,509.683,512.856,481.083,486.587,444.332,476.07,444.66,458.037,466.445,435.543,410.518,385.731,343.208,332.862,334.332,342.831,339.033,374.04,368.28,351.751,349.678,304.013,345.079,351.515,361.147,350.356,330.799,341.072,348.525,388.972,405.34,373.462,355.651,336.635,634.633,606.376,622.111,626.079,597.92,612.472,714.292,723.155,783.926
