,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,,,,0.239,,,,,,,,,,,,,
total-current-assets,386.476,196.704,193.459,185.504,261.065,173.856,154.427,155.666,148.29,157.724,139.289,131.01,133.025,142.524,127.424,93.921,109.424,101.844,96.432,97.372,91.508,81.147,89.128,91.48,97.405,95.394,91.197,87.836,88.051,85.388,88.997,89.1,88.306,90.818,79.375,85.798,91.595,92.866,90.32,84.378,76.494,,,,
net-property-plant-equipment,11.527,11.428,10.843,10.658,9.453,8.398,7.384,7.489,7.494,7.191,7.049,6.648,5.993,7.634,7.683,8.619,8.187,8.062,8.075,7.695,7.646,6.958,3.897,2.634,2.471,2.502,2.476,2.489,2.852,2.813,2.563,2.251,2.482,2.576,2.724,2.923,3.151,3.053,3.013,3.133,3.064,,,,
long-term-investments,,,,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,203.135,182.292,157.93,159.226,160.26,161.172,109.57,106.935,108.064,87.226,88.273,87.951,90.522,91.844,93.211,79.195,76.141,76.948,77.628,74.567,75.28,76.077,68.524,68.788,55.768,56.147,56.526,56.906,57.363,57.821,58.28,58.739,59.327,76.044,63.891,77.5,78.125,71.224,71.828,72.564,62.256,0.0,0.0,,0.0
other-long-term-assets,17.972,18.26,16.691,,,,,,,,,,,,,1.337,0.404,0.261,0.255,0.269,0.013,0.053,0.093,0.132,0.173,0.212,0.251,0.298,0.347,0.399,0.456,0.513,0.56,0.612,0.667,0.703,0.764,0.667,0.737,0.731,2.111,,,,
total-long-term-assets,232.634,211.98,185.464,169.884,169.713,169.57,118.426,116.025,119.611,98.47,99.375,98.854,97.415,100.378,101.794,91.876,85.632,86.171,86.858,83.431,83.839,83.988,73.414,72.454,59.312,59.761,60.153,62.021,64.651,65.122,65.388,65.592,68.035,79.232,80.164,81.126,82.104,75.132,75.766,76.937,68.338,,,,
total-assets,619.11,408.684,378.923,355.388,430.778,343.426,272.853,271.691,267.901,256.194,238.664,229.864,230.44,242.902,229.218,185.797,195.056,188.015,183.29,180.803,175.347,165.135,162.542,163.934,156.717,155.155,151.35,149.857,152.702,150.51,154.385,154.692,156.341,170.05,159.539,166.924,173.699,167.998,166.086,161.315,144.832,0.0,0.0,0.0,0.0
total-current-liabilities,76.286,69.324,67.384,61.504,62.338,56.336,51.382,55.076,55.259,47.072,52.219,49.62,50.441,47.591,48.943,42.189,49.337,45.104,43.283,43.205,46.028,42.21,42.554,45.537,40.799,41.79,40.47,39.19,41.592,39.836,40.498,43.293,46.47,45.039,40.211,37.132,41.948,39.471,39.279,38.897,45.656,,,,
