,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,
inventory,3.814,3.683,3.711,3.594,3.613,3.388,2.671,2.795,2.781,3.202,3.021,2.911,2.609,,,,,2.04
other-current-assets,7.643,6.315,6.67,4.165,7.269,3.791,3.069,2.886,0.315,0.354,0.757,0.581,,,,,,0.31
total-current-assets,96.685,102.996,101.277,63.311,52.56,38.974,32.939,35.451,28.286,16.203,16.37,15.664,13.085,,,,,12.24
net-property-plant-equipment,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,347.209,353.066,359.669,185.419,159.596,141.312,134.792,137.349,126.472,45.086,46.033,46.983,47.955,0.0,0.0,,0.0,41.59
other-long-term-assets,39.302,37.213,35.068,9.287,7.417,6.472,5.813,5.789,4.911,4.334,4.085,3.683,7.292,,,,,2.75
total-long-term-assets,402.048,404.714,409.218,207.646,181.976,160.728,150.478,152.381,140.255,57.214,57.007,57.075,60.805,,,,,49.12
total-assets,498.733,507.71,510.495,270.957,234.536,199.702,183.417,187.832,168.541,73.417,73.377,72.739,73.89,0.0,0.0,0.0,0.0,58.82
total-current-liabilities,43.564,52.368,56.328,75.728,107.314,108.411,73.362,27.767,38.668,13.118,14.083,11.009,50.061,,,,,22.07
long-term-debt,244.439,241.864,239.793,45.152,26.84,8.56,0.82,0.784,36.019,0.775,0.934,1.072,17.119,,,,,27.33
other-non-current-liabilities,11.593,10.313,8.833,11.068,2.785,2.551,2.567,34.404,16.289,2.671,2.307,3.72,8.761,,,,,29.31
total-long-term-liabilities,270.403,271.4,271.054,56.22,29.625,11.111,4.282,36.177,53.9,4.516,4.168,5.624,52.721,,,,,75.73
total-liabilities,313.967,323.768,327.382,131.948,136.939,119.522,77.644,63.944,92.568,17.634,18.251,16.633,102.782,0.0,0.0,,0.0,78.82
common-stock-net,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,184.766,183.942,183.113,139.009,97.597,80.18,105.773,123.888,75.973,55.783,55.126,56.106,-28.892,0.0,0.0,,0.0,-20.0
total-liabilities-share-holders-equity,498.733,507.71,510.495,270.957,234.536,199.702,183.417,187.832,168.541,73.417,73.377,72.739,73.89,0.0,0.0,,0.0,58.82
