,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,0.23
total-current-assets,424.689,562.801,563.106,319.446,384.255,401.197,226.007,259.393,248.722,134.558,149.446,186.263,77.882,88.681,100.74,113.547,65.167,73.642,,,,,2.14
net-property-plant-equipment,7.148,5.435,5.592,5.138,4.905,4.883,4.03,3.147,2.633,2.856,2.604,2.758,2.729,2.93,3.007,2.744,2.893,3.038,,,,,2.97
long-term-investments,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,3.432,3.865,5.084,2.521,2.312,0.426,0.514,0.368,0.432,0.363,0.388,0.283,0.75,0.289,0.289,0.289,2.003,0.984,,,,,0.12
total-long-term-assets,73.908,53.252,80.2,87.807,39.723,32.957,40.165,23.415,39.068,35.205,34.97,15.043,3.479,3.219,3.296,3.033,4.896,4.022,,,,,3.09
total-assets,498.597,616.053,643.306,407.253,423.978,434.154,266.172,282.808,287.79,169.763,184.416,201.306,81.361,91.9,104.036,116.58,70.063,77.664,0.0,0.0,0.0,0.0,4.7
total-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,2.159,,0.073,0.009,0.054,0.099,0.151,0.202,0.246,0.303,0.364,0.436,0.503,0.573,0.658,0.732,0.781,0.645,,,,,0.29
total-long-term-liabilities,2.159,,0.073,0.009,0.054,0.099,0.151,0.202,5.871,11.553,17.239,22.936,0.503,0.573,0.658,0.732,4.331,7.744,,,,,0.29
total-liabilities,46.244,31.868,31.364,36.686,44.641,47.121,48.999,52.132,41.035,45.568,49.169,55.924,12.714,14.844,18.128,22.707,24.233,26.555,0.0,,0.0,0.0,2.56
common-stock-net,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-419.999,-278.197,-240.023,-202.553,-186.877,-171.088,-152.675,-134.855,-116.402,-102.229,-89.392,-77.837,-92.096,-82.865,-73.105,-64.685,-56.213,-49.008,,,,,-17.24
comprehensive-income,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,452.353,584.185,611.942,370.567,379.337,387.033,217.173,230.676,246.755,124.195,135.247,145.382,68.647,77.056,85.908,93.873,45.83,51.109,0.0,,0.0,0.0,2.14
total-liabilities-share-holders-equity,498.597,616.053,643.306,407.253,423.978,434.154,266.172,282.808,287.79,169.763,184.416,201.306,81.361,91.9,104.036,116.58,70.063,77.664,0.0,,0.0,0.0,4.7
