,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,
inventory,140.359,132.735,121.691,115.741,109.706,97.556,94.616,94.901,90.529,81.141,79.187,73.012,70.092,68.406,66.564,56.761,50.324,,,,,27.06
other-current-assets,,,,,,,,,,,,,,,,,,,,,,8.42
total-current-assets,451.334,434.604,423.086,410.726,397.595,392.499,387.938,382.234,371.781,364.717,372.362,263.827,267.223,260.252,253.651,244.361,249.077,,,,,62.23
net-property-plant-equipment,45.625,37.94,35.38,35.407,34.133,33.719,31.995,30.899,28.259,24.419,22.905,21.464,16.224,11.864,9.717,8.951,8.646,,,,,4.9
long-term-investments,,,,,,2.597,3.286,3.872,,,,,,,,,,,,,,6.0
goodwill-intangible-assets-total,32.946,33.796,34.472,35.058,35.207,35.321,36.655,31.956,31.27,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,51.447,44.108,43.989,0.875,1.085,1.049,0.968,1.016,5.281,5.371,0.612,0.487,0.438,0.441,0.435,0.393,0.293,,,,,0.45
total-long-term-assets,162.836,150.505,145.703,104.28,103.41,106.815,101.769,94.433,87.313,52.286,46.003,44.427,30.056,23.727,21.47,19.487,10.248,,,,,11.77
total-assets,614.17,585.109,568.789,515.006,501.005,499.314,489.707,476.667,459.094,417.003,418.365,308.254,297.279,283.979,275.121,263.848,259.325,0.0,0.0,0.0,0.0,71.14
total-current-liabilities,86.167,69.761,69.412,66.062,65.052,49.687,50.253,51.582,51.08,37.511,38.564,35.8,37.344,32.189,33.979,28.148,28.277,,,,,15.83
long-term-debt,45.4,46.146,46.07,,,,,,,,,,,,,,,,,,,6.0
other-non-current-liabilities,15.662,15.019,16.644,26.529,26.665,24.428,24.533,24.677,24.182,6.514,6.329,5.907,6.081,4.199,3.094,3.178,2.458,,,,,1.15
total-long-term-liabilities,61.062,61.165,62.714,26.529,26.665,24.428,24.533,24.677,24.182,6.514,6.329,5.907,6.081,4.199,3.094,3.178,2.458,,,,,7.15
total-liabilities,147.229,130.926,132.126,92.591,91.717,74.115,74.786,76.259,75.262,44.025,44.893,41.707,43.425,36.388,37.073,31.326,30.735,0.0,0.0,,0.0,22.98
common-stock-net,0.035,0.035,0.034,0.034,0.034,0.034,0.034,0.033,0.033,0.033,0.033,0.031,0.031,0.03,0.03,0.03,0.03,0.0,0.0,,0.0,0.004
retained-earnings-accumulated-deficit,47.833,36.35,19.762,9.064,2.403,21.333,7.951,1.996,-7.087,-7.325,-5.767,-2.661,-17.616,-16.51,-16.695,-17.475,-19.108,,,,,-14.99
comprehensive-income,-4.01,-1.514,-2.578,-1.942,-0.899,-0.661,2.637,1.569,1.204,-4.695,-3.926,-4.688,-3.592,-2.579,-0.786,-2.115,-1.536,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,-0.005,-0.026,0.0,0.0,,0.0,0.65
total-share-holder-equity,466.941,454.183,436.663,422.415,409.288,425.199,414.921,400.408,383.832,372.978,373.472,266.547,253.854,247.591,238.048,232.522,228.59,0.0,0.0,,0.0,48.16
total-liabilities-share-holders-equity,614.17,585.109,568.789,515.006,501.005,499.314,489.707,476.667,459.094,417.003,418.365,308.254,297.279,283.979,275.121,263.848,259.325,0.0,0.0,,0.0,71.14
