,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
cash-on-hand,,,,,,,,,,,,,,,
total-current-assets,167.579,235.758,166.792,196.166,163.533,150.192,114.763,134.759,133.07,159.373,184.164,193.49,0.111,,
net-property-plant-equipment,,,,,,,,,,,,,,,
other-long-term-assets,14.135,13.058,4.114,3.811,3.161,2.777,3.065,2.098,2.098,3.074,,0.1,0.1,,
total-long-term-assets,16.423,15.115,6.185,5.504,4.633,4.156,4.338,3.218,3.063,4.026,1.114,0.571,1.884,0.5237,
total-assets,184.002,250.873,172.977,201.67,168.166,154.348,119.101,137.977,136.133,163.399,185.278,194.061,1.995,0.5237,0.0
total-current-liabilities,60.03,68.896,71.973,55.874,47.97,48.923,37.085,26.727,17.088,17.199,18.337,6.338,7.365,2.1468,
long-term-debt,101.395,98.62,93.24,97.156,44.56,44.131,43.624,28.575,,,,,,,
other-non-current-liabilities,5.323,3.79,2.273,0.773,0.56,0.407,0.255,0.105,,,0.052,1.655,32.555,6.975,
total-long-term-liabilities,106.718,102.41,96.67,99.061,46.095,45.27,44.287,29.052,0.326,0.218,0.165,1.655,32.555,6.975,
total-liabilities,166.748,171.306,168.643,154.935,94.065,94.193,81.372,55.779,17.414,17.417,18.502,7.993,39.92,9.1218,
common-stock-net,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.0,0.002,0.002,0.0014,
retained-earnings-accumulated-deficit,-640.497,-569.929,-502.025,-427.011,-356.378,-290.608,-228.474,-180.221,-138.444,-108.536,-85.097,-63.423,-55.34,-20.6273,
comprehensive-income,,,,,,,,,,,,,,,
total-share-holder-equity,17.254,79.567,4.334,46.735,74.101,60.155,37.729,82.198,118.719,145.982,166.776,186.068,-37.925,-8.5981,
total-liabilities-share-holders-equity,184.002,250.873,172.977,201.67,168.166,154.348,119.101,137.977,136.133,163.399,185.278,194.061,1.995,0.5237,
