,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
total-current-assets,174.7968,186.4687,198.3899,212.2691,222.4338,232.9182,246.1094,127.2196,113.8883,119.6501,35.2876,40.5202,46.5223,54.5342,39.5135,47.2444,54.4781,60.769,47.344,56.1152,61.9499,67.099,57.6851,4.8837,9.1372,,,,,28.36
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,4.7795,4.9362,5.0894,1.6129,1.7673,1.7673,0.2567,0.2567,0.8119,0.8119,0.8119,0.8119,0.8119,0.7489,0.6965,0.6965,0.6965,0.6965,0.6965,0.6965,,,,,,,,,,0.3
total-long-term-assets,5.6579,5.8661,6.0516,2.5702,2.7358,2.7778,1.3114,1.3636,1.9341,1.9714,1.8864,1.8682,1.4884,1.2368,1.1879,1.2179,1.2638,1.2757,1.1169,1.1488,0.4819,0.4206,0.3791,0.3998,0.4228,,,,,1.23
total-assets,180.4546,192.3348,204.4415,214.8393,225.1697,235.696,247.4208,128.5832,115.8223,121.6215,37.174,42.3883,48.0107,55.7711,40.7014,48.4623,55.7418,62.0447,48.4609,57.264,62.4318,67.5196,58.0641,5.2835,9.561,0.0,0.0,0.0,0.0,28.9
total-current-liabilities,10.4363,10.6329,8.3069,8.7632,6.4342,7.0374,8.6959,8.1748,6.5309,5.4471,4.5338,6.3336,5.418,6.0947,5.6833,7.747,6.8503,6.7966,4.1037,6.4605,4.7136,3.5969,2.6422,2.2793,2.9216,,,,,16.41
long-term-debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,2.9373,3.143,3.3411,0.6116,0.6397,0.6637,0.6857,0.707,0.727,0.7426,0.7541,0.7536,0.8414,0.7995,0.2501,0.2436,0.1865,0.0282,,,0.0097,0.0388,0.0678,0.0968,0.1243,,,,,4.04
total-liabilities,13.3737,13.7759,11.6479,9.3748,7.074,7.7011,9.3816,8.8818,7.2579,6.1897,5.2878,7.0872,6.2594,6.8942,5.9335,7.9906,7.0368,6.8247,4.1037,6.4605,4.7233,3.6357,2.71,2.3761,3.0459,0.0,0.0,,0.0,20.45
common-stock-net,0.0434,0.0432,0.0432,0.0432,0.0431,0.0431,0.0425,0.0344,0.0327,0.0327,0.0239,0.0232,0.0231,0.023,0.0193,0.019,0.019,0.019,0.019,0.0189,0.0189,0.0189,0.0188,0.0014,0.0013,0.0,0.0,,0.0,0.0009
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,167.081,178.5589,192.7936,205.4645,218.0957,227.9949,238.0392,119.7014,108.5645,115.4319,31.8862,35.3011,41.7513,48.8768,34.768,40.4717,48.705,55.22,44.3572,50.8034,57.7085,63.8839,55.3542,2.9074,6.5151,0.0,0.0,,0.0,8.45
total-liabilities-share-holders-equity,180.4546,192.3348,204.4415,214.8393,225.1697,235.696,247.4208,128.5832,115.8223,121.6215,37.174,42.3883,48.0107,55.7711,40.7014,48.4623,55.7418,62.0447,48.4609,57.264,62.4318,67.5196,58.0641,5.2835,9.561,0.0,0.0,,0.0,28.9
