,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,0.055,,0.207,0.113,0.158,0.372,,,,,,0.22
total-current-assets,334.778,366.677,405.077,445.475,472.508,366.671,367.031,388.601,376.374,340.68,166.909,188.147,183.313,199.606,184.548,189.754,115.07,,,,,9.26
net-property-plant-equipment,7.107,7.238,7.369,6.934,5.482,5.499,4.622,4.218,4.087,4.319,4.604,4.392,3.701,3.37,3.479,3.481,3.667,,,,,3.27
long-term-investments,,,,,,,,,,,,,2.025,,,,,,,,,
goodwill-intangible-assets-total,2.298,2.334,2.371,2.407,2.444,2.48,2.517,2.553,2.59,2.699,2.699,2.699,2.699,2.699,2.699,2.699,2.699,0.0,0.0,,0.0,2.69
other-long-term-assets,28.361,29.035,29.696,2.292,2.292,2.292,2.292,2.272,3.988,4.157,3.67,3.89,1.143,1.185,1.226,1.281,3.343,,,,,0.14
total-long-term-assets,37.766,38.607,39.436,11.633,10.218,10.271,9.431,9.043,10.665,11.175,10.973,10.981,9.568,7.254,7.404,7.461,9.709,,,,,6.1
total-assets,372.544,405.284,444.513,457.108,482.726,376.942,376.462,397.644,387.039,351.855,177.882,199.128,192.881,206.86,191.952,197.215,124.779,0.0,0.0,0.0,0.0,14.18
total-current-liabilities,76.126,78.673,96.217,97.908,86.274,83.212,69.707,61.147,71.241,60.635,37.126,35.767,23.682,22.224,17.003,15.739,13.973,,,,,4.17
long-term-debt,25.621,26.321,27.008,,,,,,,,,,,,,,,,,,,2.94
other-non-current-liabilities,0.963,0.963,0.963,3.05,2.426,2.281,2.055,1.897,1.803,1.391,0.978,0.566,0.154,0.153,,0.198,0.244,,,,,0.05
total-long-term-liabilities,214.309,225.11,225.725,228.317,238.791,252.597,257.108,266.601,270.319,238.983,66.969,84.882,79.777,83.449,62.235,55.408,57.775,,,,,9.55
total-liabilities,290.435,303.783,321.942,326.225,325.065,335.809,326.815,327.748,341.56,299.618,104.095,120.649,103.459,105.673,79.238,71.147,71.748,0.0,0.0,,0.0,13.74
common-stock-net,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,,0.0,0.001
retained-earnings-accumulated-deficit,-381.775,-358.076,-329.116,-314.981,-282.748,-259.317,-245.87,-219.465,-220.086,-209.839,-184.623,-176.366,-162.333,-147.671,-133.495,-117.466,-105.979,,,,,-43.88
comprehensive-income,0.11,0.209,0.073,-0.093,-0.208,-0.178,-0.228,-0.094,-0.061,-0.11,-0.1,-0.027,0.006,0.08,0.03,-0.076,0.008,,,,,
other-share-holders-equity,,,,,,,,,,,,,,0.0,-0.078,-0.078,-0.078,0.0,0.0,,0.0,-0.39
total-share-holder-equity,82.109,101.501,122.571,130.883,157.661,41.133,49.647,69.896,45.479,52.237,73.787,78.479,89.422,101.187,112.714,126.068,53.031,0.0,0.0,,0.0,0.43
total-liabilities-share-holders-equity,372.544,405.284,444.513,457.108,482.726,376.942,376.462,397.644,387.039,351.855,177.882,199.128,192.881,206.86,191.952,197.215,124.779,0.0,0.0,,0.0,14.18
