,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
cash-on-hand,,,,,,,,,,
other-current-assets,,,,,,,,,,0.31
total-current-assets,199.6633,163.2611,179.7359,195.6778,95.5181,,,,,37.28
net-property-plant-equipment,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,2.2783,2.4185,2.6048,0.0208,0.0208,,,,,0.02
total-long-term-assets,9.4305,8.785,6.8322,3.6038,3.368,,,,,1.34
total-assets,209.0938,172.0461,186.5681,199.2816,98.8861,0.0,0.0,0.0,0.0,37.93
total-current-liabilities,29.3963,20.9458,20.6002,22.9799,19.8476,,,,,10.03
long-term-debt,3.7678,3.8934,4.137,2.0,2.0,,,,,0.31
other-non-current-liabilities,,,,0.15,,,,,,
total-long-term-liabilities,45.5379,34.5951,38.2303,39.6347,42.714,,,,,3.86
total-liabilities,74.9342,55.5409,58.8304,62.6146,62.5616,0.0,0.0,,0.0,13.9
common-stock-net,0.0331,0.0315,0.0314,0.0312,0.0037,0.0,0.0,,0.0,0.0062
retained-earnings-accumulated-deficit,-351.5091,-333.8338,-316.6691,-302.2646,-286.1768,,,,,-33.79
comprehensive-income,0.1966,0.3002,0.08,-0.2177,-0.0472,,,,,
other-share-holders-equity,,,,,,0.0,0.0,,0.0,0.91
total-share-holder-equity,134.1596,116.5053,127.7377,136.667,36.3244,0.0,0.0,,0.0,24.03
total-liabilities-share-holders-equity,209.0938,172.0461,186.5681,199.2816,98.8861,0.0,0.0,,0.0,37.93
