,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
other-current-assets,11.5091,5.3366,2.1173,4.6341,0.7167,0.3113,0.8412,0.9652,,,,1.61
total-current-assets,271.0887,212.8752,231.1577,74.6521,91.3067,103.9858,36.0144,11.4751,,,,19.08
net-property-plant-equipment,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,29.7643,24.2935,10.838,0.2285,0.3042,0.1234,0.1234,0.1234,,,,0.44
total-long-term-assets,46.6634,40.2008,26.6966,22.2427,13.9292,13.6912,14.7665,14.3791,,,,3.69
total-assets,317.7522,253.076,257.8543,96.8948,105.2359,117.677,50.7809,25.8542,0.0,0.0,0.0,22.55
total-current-liabilities,39.2898,40.7902,33.2044,15.4988,8.4872,8.7794,13.8872,21.4019,,,,6.04
long-term-debt,20.6001,15.3925,2.9113,0.0071,0.0121,0.0207,0.0287,0.0343,,,,0.0055
other-non-current-liabilities,0.1312,0.1328,0.1338,0.1281,0.1815,0.1804,0.1878,0.1784,,,,0.22
total-long-term-liabilities,83.569,82.7228,80.2317,0.3365,0.4046,0.4254,97.8091,51.8176,,,,33.6355
total-liabilities,122.8588,123.5129,113.4361,15.8353,8.8918,9.2049,111.6963,73.2195,0.0,0.0,0.0,39.69
common-stock-net,0.0014,0.0013,0.0013,0.0011,0.0011,0.0011,0.0004,0.0003,0.0,0.0,0.0,0.0003
retained-earnings-accumulated-deficit,-197.5549,-187.094,-166.2716,-148.2897,-127.233,-111.808,-81.8272,-65.4238,,,,-34.37
comprehensive-income,2.3934,0.7399,-0.84,0.2937,-0.2925,-0.8012,-2.7802,-2.0225,,,,
other-share-holders-equity,,,,,,,,,0.0,0.0,0.0,-0.66
total-share-holder-equity,194.8934,129.5631,144.4182,81.0595,96.3441,108.4721,-60.9154,-47.3653,0.0,0.0,0.0,-17.13
total-liabilities-share-holders-equity,317.7522,253.076,257.8543,96.8948,105.2359,117.677,50.7809,25.8542,0.0,0.0,0.0,22.55
