,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,1152.663,1263.57,1371.532,944.695,1039.912,1123.769,1095.088,525.075,248.343,291.12,349.044,402.579,434.688,274.107,302.606,188.491,207.481,227.508,114.529,128.822,137.79,51.543,,,,,2.82
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,41.699,43.614,44.869,2.367,1.919,1.269,1.269,0.849,0.849,0.849,0.564,0.564,0.564,0.564,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,,,,,
total-long-term-assets,51.064,51.977,51.382,8.01,7.087,5.714,5.564,4.862,2.742,2.292,2.124,1.952,1.613,1.523,0.904,0.525,0.929,0.965,0.949,0.843,0.173,0.108,,,,,0.17
total-assets,1203.727,1315.547,1422.914,952.705,1046.999,1129.483,1100.652,529.937,251.085,293.412,351.168,404.531,436.301,275.63,303.51,189.016,208.41,228.473,115.478,129.665,137.963,51.651,0.0,0.0,0.0,0.0,2.99
total-current-liabilities,90.956,78.953,68.376,86.03,54.526,47.919,37.872,51.951,49.837,32.281,31.882,35.169,22.33,18.339,15.97,15.307,10.291,11.0,8.945,7.757,5.01,3.931,,,,,1.41
long-term-debt,31.36,33.309,34.528,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,0.34,0.41,0.476,3.704,3.968,3.801,3.504,2.511,1.196,0.827,0.84,0.845,0.234,0.082,0.04,0.014,0.015,0.022,0.023,0.023,0.034,0.04,,,,,
total-long-term-liabilities,31.7,33.719,35.004,3.704,3.968,3.801,3.504,2.511,1.196,0.827,0.84,0.845,0.234,0.082,0.04,0.014,0.015,0.022,0.023,0.023,0.034,92.512,,,,,14.97
total-liabilities,122.656,112.672,103.38,89.734,58.494,51.72,41.376,54.462,51.033,33.108,32.722,36.014,22.564,18.421,16.01,15.321,10.306,11.022,8.968,7.78,5.044,96.443,0.0,,0.0,0.0,16.38
common-stock-net,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-1474.914,-1294.956,-1126.735,-963.329,-804.941,-682.023,-665.045,-590.447,-521.025,-447.306,-377.105,-320.327,-264.426,-226.63,-191.883,-161.34,-132.778,-108.743,-83.716,-66.845,-54.484,-44.792,,,,,-13.39
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,1081.071,1202.875,1319.534,862.971,988.505,1077.763,1059.276,475.475,200.052,260.304,318.446,368.517,413.737,257.209,287.5,173.695,198.104,217.451,106.51,121.885,132.919,-44.792,0.0,,0.0,0.0,-13.39
total-liabilities-share-holders-equity,1203.727,1315.547,1422.914,952.705,1046.999,1129.483,1100.652,529.937,251.085,293.412,351.168,404.531,436.301,275.63,303.51,189.016,208.41,228.473,115.478,129.665,137.963,51.651,0.0,,0.0,0.0,0.0
