,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
other-current-assets,,,,,,,,,,,0.8
total-current-assets,105.976,126.149,153.445,117.899,135.67,137.032,,,,,33.17
net-property-plant-equipment,7.952,7.677,7.43,2.034,1.826,1.136,,,,,
long-term-investments,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,0.259,0.068,0.095,0.095,0.095,0.088,,,,,0.04
total-long-term-assets,22.124,7.745,7.525,2.129,1.921,1.224,,,,,0.04
total-assets,128.1,133.894,160.97,120.028,137.591,138.256,0.0,0.0,0.0,0.0,33.53
total-current-liabilities,17.792,21.008,13.406,10.172,8.208,9.189,,,,,2.52
long-term-debt,58.124,29.403,32.141,31.89,31.642,18.167,,,,,
other-non-current-liabilities,8.528,8.692,8.323,2.56,2.621,1.563,,,,,
total-long-term-liabilities,66.652,38.095,40.464,34.45,34.263,19.73,,,,,0.04
total-liabilities,84.444,59.103,53.87,44.622,42.471,28.919,0.0,,0.0,0.0,2.56
common-stock-net,0.003,0.003,0.003,0.002,0.002,0.002,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-213.163,-180.327,-145.942,-120.665,-100.246,-85.478,,,,,-34.03
comprehensive-income,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,43.656,74.791,107.1,75.406,95.12,109.337,0.0,,0.0,0.0,30.96
total-liabilities-share-holders-equity,128.1,133.894,160.97,120.028,137.591,138.256,0.0,,0.0,0.0,33.53
