,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,1.938,1.89,0.368,1.038,2.243,3.482,3.225,2.192,2.027,0.907,0.908,1.537,1.246,2.935,2.702,1.919,2.115,2.95,2.484,3.008,1.671,0.703,0.112,0.45,0.17,1.288,0.931,1.106,1.147,0.48,0.727,1.632,1.5,1.242,1.225,1.234,1.372,1.836,1.695,0.48,1.819,2.116,1.112,2.023,3.088,3.267,2.281,1.997,1.92,1.235,1.813,1.787,0.824,1.52,1.8235
other-current-assets,,,,0.5,0.5,,4.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,225.681,259.378,289.835,278.781,322.714,364.618,247.434,276.341,206.96,161.408,142.131,176.346,207.284,253.106,193.304,223.246,262.016,292.18,119.128,114.363,128.33,150.756,172.344,189.458,187.736,200.684,215.707,217.058,238.821,166.27,181.812,193.58,183.609,201.525,125.083,135.923,102.235,117.118,48.006,58.533,65.953,76.866,48.597,52.707,51.749,56.041,53.433,59.394,66.688,72.102,76.046,78.488,80.678,84.544,92.974,94.452,96.26,99.936,103.5017
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,19.337,18.239,20.37,3.709,3.941,4.437,4.681,3.797,3.113,3.148,3.193,3.02,3.133,3.43,2.925,2.942,0.911,0.974,0.043,0.049,0.108,0.213,0.392,0.4,0.203,0.217,0.183,0.196,0.174,0.174,0.216,0.141,0.141,0.158,0.172,0.189,0.162,0.196,0.226,0.036,0.042,0.025,0.027,0.026,0.032,0.038,0.012,0.012,0.012,0.075,0.218,0.406,0.218,0.265,0.265,0.265,0.265,0.313,0.3129
total-long-term-assets,28.455,28.291,34.09,16.6,17.15,16.466,17.531,18.335,18.735,19.969,21.19,22.518,24.064,26.134,29.043,28.334,23.568,21.643,14.674,14.177,14.776,14.562,14.35,13.065,12.288,12.912,12.975,13.779,13.847,14.038,14.516,14.639,15.495,16.116,17.239,17.882,18.524,20.09,21.194,22.004,22.968,23.838,25.05,25.818,26.675,27.297,28.492,20.379,12.47,8.319,8.842,9.243,9.339,9.584,9.768,10.002,9.996,10.196,10.2633
total-assets,254.136,287.669,323.925,295.381,339.864,381.084,264.965,294.676,225.695,181.377,163.321,198.864,231.348,279.24,222.347,251.58,285.584,313.823,133.802,128.54,143.106,165.318,186.694,202.523,200.024,213.596,228.682,230.837,252.668,180.308,196.328,208.219,199.104,217.641,142.322,153.805,120.759,137.208,69.2,80.537,88.921,100.704,73.647,78.525,78.424,83.338,81.925,79.773,79.158,80.421,84.888,87.731,90.017,94.128,102.742,104.454,106.256,110.132,113.765
total-current-liabilities,88.174,74.616,61.426,70.66,70.37,63.348,66.227,55.77,73.655,67.35,40.367,55.776,56.225,60.439,39.83,43.9,35.948,35.81,22.812,19.643,39.774,21.254,21.197,17.633,16.541,19.173,16.814,14.628,15.428,16.254,14.798,11.62,13.219,14.566,13.37,10.738,9.706,13.822,11.375,11.575,9.942,11.128,11.838,12.949,10.153,10.386,21.148,13.364,12.726,14.288,14.352,12.815,12.364,10.723,12.579,10.966,9.436,9.226,11.334
long-term-debt,24.653,25.405,26.152,2.064,2.06,2.057,2.053,2.05,3.022,97.299,97.131,96.965,96.794,96.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
