,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,0.12,0.0095
total-current-assets,44.2362,54.5681,43.7592,15.2151,15.9444,21.5394,27.7537,35.2995,32.4195,38.8371,46.1988,37.9991,34.7549,39.9166,45.0656,49.0329,,,,2.74,2.09
net-property-plant-equipment,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,0.169,0.169,0.1015,0.1123,0.1174,0.1174,0.1149,0.188,0.1193,0.1193,0.1193,0.1128,0.0591,0.0575,0.0575,0.0266,,,,,
total-long-term-assets,0.2035,0.2097,0.1419,0.1642,0.1814,0.186,0.1856,0.256,0.1986,0.2058,0.2128,0.2136,0.1636,0.0913,0.0827,0.0433,,,,0.04,
total-assets,44.4397,54.7778,43.9011,15.3793,16.1258,21.7254,27.9393,35.5556,32.6181,39.0429,46.4116,38.2126,34.9185,40.0079,45.1482,49.0762,0.0,0.0,0.0,2.78,2.09
total-current-liabilities,18.509,13.0701,7.7098,10.8219,10.9427,9.526,9.421,12.1753,8.4036,8.2112,8.3558,7.1707,6.7355,5.1036,3.9137,2.6319,,,,0.97,4.12
long-term-debt,19.1081,17.4247,18.8176,3.6194,4.4404,5.1905,5.9322,6.663,7.3754,8.0771,8.7753,9.4704,,,,,,,,4.44,
other-non-current-liabilities,,,,,,,,,,,,,,,,,,,,0.57,
total-long-term-liabilities,19.1081,17.4247,18.8176,3.6194,4.4404,5.1905,5.9322,6.663,7.3754,8.0771,8.7753,9.4704,,,,,,,,5.01,
total-liabilities,37.6171,30.4948,26.5274,14.4414,15.3831,14.7165,15.3531,18.8383,15.7791,16.2883,17.1311,16.6412,6.7355,5.1036,3.9137,2.6319,0.0,0.0,0.0,5.98,4.12
common-stock-net,0.0035,0.0034,0.0033,0.003,0.0027,0.0026,0.0026,0.0025,0.0024,0.0024,0.0024,0.0019,0.0019,0.0019,0.0019,0.0019,0.0,0.0,0.0,0.0011,0.0008
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0051
total-share-holder-equity,6.8226,24.283,17.3737,0.9379,0.7428,7.0089,12.5862,16.7172,16.8391,22.7546,29.2805,21.5715,28.1829,34.9044,41.2345,46.4443,0.0,0.0,0.0,-3.2,-2.02
total-liabilities-share-holders-equity,44.4397,54.7778,43.9011,15.3793,16.1258,21.7254,27.9393,35.5556,32.6181,39.0429,46.4116,38.2126,34.9185,40.0079,45.1482,49.0762,0.0,0.0,0.0,2.78,2.09
