,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
cash-on-hand,,,,,,,,,,
inventory,4.953,4.436,3.516,3.343,3.028,,,,,1.51
other-current-assets,,,,,,,,,,0.95
total-current-assets,112.713,119.018,129.397,136.042,24.861,,,,,36.32
net-property-plant-equipment,3.025,2.532,2.336,2.154,2.048,,,,,4.64
long-term-investments,5.273,5.262,,,,,,,,
goodwill-intangible-assets-total,,,,,,0.0,0.0,,0.0,0.04
other-long-term-assets,0.305,0.31,0.321,0.325,1.486,,,,,0.45
total-long-term-assets,8.603,8.104,2.657,2.479,3.534,,,,,5.13
total-assets,121.316,127.122,132.054,138.521,28.395,0.0,0.0,0.0,0.0,39.43
total-current-liabilities,12.834,9.919,9.908,9.006,8.942,,,,,13.38
long-term-debt,39.158,39.093,39.028,38.963,38.899,,,,,21.07
other-non-current-liabilities,0.363,0.363,0.363,0.36,0.332,,,,,113.7
total-long-term-liabilities,39.521,39.456,39.391,39.323,158.882,,,,,134.77
total-liabilities,52.355,49.375,49.299,48.329,167.824,0.0,0.0,,0.0,148.16
common-stock-net,0.003,0.003,0.003,0.003,0.001,0.0,0.0,,0.0,0.001
retained-earnings-accumulated-deficit,-186.482,-175.176,-166.522,-157.177,-151.864,,,,,-116.68
comprehensive-income,0.475,0.516,0.445,0.439,0.431,,,,,
other-share-holders-equity,,,,,,0.0,0.0,,0.0,-0.04
total-share-holder-equity,68.961,77.747,82.755,90.192,-139.429,0.0,0.0,,0.0,-108.73
total-liabilities-share-holders-equity,121.316,127.122,132.054,138.521,28.395,0.0,0.0,,0.0,39.43
