,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
inventory,,,,,,,,,,,,
total-current-assets,170.462,177.242,188.543,199.278,129.955,133.028,26.943,24.097,,,,
net-property-plant-equipment,2.757,1.826,0.974,0.802,0.765,0.865,0.911,0.994,,,,
long-term-investments,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,0.381,0.381,0.089,,,,,,,,,
total-long-term-assets,12.763,8.323,1.063,0.802,0.765,0.865,0.911,0.994,,,,
total-assets,183.225,185.565,189.606,200.08,130.72,133.893,27.854,25.091,0.0,0.0,0.0,0.0
total-current-liabilities,12.703,8.661,7.826,11.155,7.595,9.344,7.921,7.147,,,,
long-term-debt,,,,,,,,,,,,
total-long-term-liabilities,24.468,24.415,24.364,24.926,24.814,21.974,24.868,16.617,,,,
total-liabilities,37.171,33.076,32.19,36.081,32.409,31.318,32.789,23.764,0.0,0.0,0.0,0.0
common-stock-net,0.024,0.024,0.024,0.023,0.021,0.021,0.001,0.001,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-171.076,-162.829,-155.179,-146.913,-142.135,-137.442,-131.586,-125.085,,,,
comprehensive-income,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,146.054,152.489,157.416,163.999,98.311,102.575,-4.935,1.327,0.0,0.0,0.0,0.0
total-liabilities-share-holders-equity,183.225,185.565,189.606,200.08,130.72,133.893,27.854,25.091,0.0,0.0,0.0,0.0
