,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
cash-on-hand,,,,,,,,,,,,,,,
inventory,97.967,98.433,112.539,92.142,76.576,81.208,79.239,44.056,34.654,42.805,,,,,
other-current-assets,6.207,2.874,4.313,4.212,1.613,3.659,5.604,5.164,3.722,3.955,,,,,
total-current-assets,213.417,223.0,236.685,207.721,136.265,147.449,148.519,108.875,109.753,79.549,,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,353.485,211.035,212.645,213.575,203.839,205.049,209.425,8.33,8.585,8.598,0.0,,0.0,0.0,0.0
other-long-term-assets,23.953,14.886,12.527,2.857,3.188,2.933,3.092,2.646,2.132,3.656,,,,,
total-long-term-assets,476.667,300.844,298.568,287.713,273.164,252.41,253.883,31.97,35.289,24.816,,,,,
total-assets,690.084,523.844,535.253,495.434,409.429,399.859,402.402,140.845,145.042,104.365,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,79.788,75.027,82.015,64.196,54.326,73.898,63.304,18.191,16.074,18.743,,,,,
long-term-debt,274.185,110.386,124.388,109.737,116.168,116.55,138.547,17.572,20.331,33.43,,,,,
other-non-current-liabilities,0.238,0.254,0.268,0.524,0.417,0.403,0.237,0.238,0.336,0.35,,,,,
total-long-term-liabilities,274.423,110.64,124.656,110.261,116.585,116.953,138.784,17.81,20.667,33.78,,,,,
total-liabilities,354.211,185.667,206.671,174.457,170.911,190.851,202.088,36.001,36.741,52.523,0.0,,0.0,0.0,0.0
common-stock-net,0.028,0.029,0.028,0.029,0.026,0.025,0.024,0.021,0.021,53.289,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-4.914,0.976,-2.839,-4.45,-0.976,-3.197,-5.696,-3.493,-0.226,,,,,,
comprehensive-income,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,335.873,338.177,328.582,320.977,238.518,209.008,200.314,104.844,108.301,51.842,0.0,,0.0,0.0,0.0
total-liabilities-share-holders-equity,690.084,523.844,535.253,495.434,409.429,399.859,402.402,140.845,145.042,104.365,0.0,,0.0,0.0,0.0
