,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
inventory,12.801,14.038,13.432,13.282,13.537,13.812,12.782,11.222,8.966,8.382,7.485,6.844,6.453,5.511,5.061,4.097,3.153,2.908,2.538,2.258,,,,1.85
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,0.42
total-current-assets,209.288,201.201,183.737,176.567,175.247,155.385,147.373,149.46,137.221,131.214,123.739,120.023,114.591,112.565,104.603,104.14,104.833,114.335,13.548,10.554,,,,11.95
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,,,,,0.393,1.311,2.229,3.147,4.088,5.029,5.97,6.567,7.479,8.392,9.305,10.218,10.85,11.725,12.6,13.475,0.0,0.0,0.0,16.97
other-long-term-assets,77.897,80.174,24.55,11.037,2.327,2.102,1.448,1.2,0.767,0.559,0.354,0.188,0.188,0.156,0.15,0.149,0.141,0.253,0.179,0.042,,,,0.07
total-long-term-assets,98.148,100.884,44.298,30.403,15.253,15.705,15.981,16.376,15.39,14.312,14.163,14.348,14.661,11.533,11.714,12.521,12.851,13.837,14.705,15.467,,,,22.38
total-assets,307.436,302.085,228.035,206.97,190.5,171.09,163.354,165.836,152.611,145.526,137.902,134.371,129.252,124.098,116.317,116.661,117.684,128.172,28.253,26.021,0.0,0.0,0.0,30.87
total-current-liabilities,33.103,31.001,27.347,30.365,24.771,20.371,18.646,26.788,19.807,19.124,14.642,16.938,18.841,18.729,17.989,20.362,19.677,21.46,18.464,20.187,,,,5.47
long-term-debt,80.257,79.866,12.174,,,,,,,,,,,,,0.765,3.039,11.638,13.702,8.968,,,,17.5
other-non-current-liabilities,3.96,3.413,3.025,2.745,2.322,2.186,1.68,0.846,0.703,0.468,0.307,0.159,0.208,0.231,0.269,0.343,0.198,0.283,0.441,0.391,,,,0.73
total-long-term-liabilities,84.217,83.279,15.199,2.745,2.322,2.186,1.68,0.846,0.703,0.468,0.307,0.159,0.208,0.231,0.269,1.108,3.237,11.921,14.143,9.359,,,,18.23
total-liabilities,117.32,114.28,42.546,33.11,27.093,22.557,20.326,27.634,20.51,19.592,14.949,17.097,19.049,18.96,18.258,21.47,22.914,33.381,32.607,29.546,0.0,0.0,0.0,23.7
common-stock-net,0.037,0.037,0.036,0.036,0.036,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.033,0.033,0.032,0.032,0.032,0.032,0.007,0.006,0.0,0.0,0.0,0.005
retained-earnings-accumulated-deficit,-226.291,-212.785,-206.476,-205.134,-206.913,-200.292,-194.894,-192.183,-193.189,-194.514,-191.213,-192.091,-192.225,-193.384,-195.716,-196.613,-194.323,-192.266,-160.338,-159.372,,,,-147.24
comprehensive-income,1.837,1.233,1.174,0.738,0.707,0.311,-1.295,-0.591,-0.314,0.046,0.348,0.648,-0.151,-0.057,0.034,0.051,0.095,0.083,0.044,0.044,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-7.74
total-share-holder-equity,190.116,187.805,185.489,173.86,163.407,148.533,143.028,138.202,132.101,125.934,122.953,117.274,110.203,105.138,98.059,95.191,94.77,94.791,-4.354,-3.525,0.0,0.0,0.0,7.16
total-liabilities-share-holders-equity,307.436,302.085,228.035,206.97,190.5,171.09,163.354,165.836,152.611,145.526,137.902,134.371,129.252,124.098,116.317,116.661,117.684,128.172,28.253,26.021,0.0,0.0,0.0,30.87
